Reaction,Reagents,Class,Time,Environment,,Y2O3,Mn2O3,Y2Mn2O7,YMn2O5,hYMnO3,NaCl1,NaMn8O16,Na039MnO2,Na4Mn13O26,Y3O4Cl,,,molY$_2$O$_3$,molMn$_2$O$_3$,molY$_2$Mn$_2$O$_7$,molYMn$_2$O$_5$,molh-YMnO$_3$,molNaCl,molNaMn$_8$O$_16$,molNa$_{0.39}MnO$_2$,molNa$_4$Mn$_13$O$_26$,molY$_3$O$_4$Cl,Total,TotalsubNaCl,,,,Y$_2$O$_3$,Mn$_2$O$_3$,Y$_2$Mn$_2$O$_7$,YMn$_2$O$_5$,h-YMnO$_3$,NaCl,NaMn$_8$O$_{16}$,Na$_{0.39}$MnO$_2$,Na$_4$Mn$_13$O$_26$,Y$_3$O$_4$Cl,Total,,,,Y$_2$O$_3$-NaCl,Mn$_2$O$_3$-NaCl,Y$_2$Mn$_2$O$_7$-NaCl,YMn$_2$O$_5$-NaCl,h-YMnO$_3$-NaCl,NaMn$_8$O$_{16}$-NaCl,Na$_{0.39}$MnO$_2$-NaCl,Na$_4$Mn$_13$O$_26$-NaCl,Y$_3$O$_4$Cl-NaCl,Total
3-101-1,"MnO2, Y2O3",1,24,O2,,55.07,32.55,6.85,5.53,0,0,0,0,0,0,,,0.243877596,0.206182302,0.017138711,0.01983643,0,0,0,0,0,0,0.487035039,0.487035039,,,,50.07393238,42.33418241,3.51898931,4.072895903,0,0,0,0,0,0,100,,,,,,,,,,,,,
3-101-2,"MnO2, Y2O3, 6NaCl",2,24,O2,,9.71,5.22,25.43,1.83,2.98,54.83,0,0,0,0,,,0.043000753,0.03306518,0.063625901,0.006564316,0.015533778,0.938227242,0,0,0,0,1.100017169,0.161789928,,,,3.909098334,3.005878556,5.784082511,0.596746681,1.412139608,85.29205431,0,0,0,0,100,,,,26.57813957,20.43710671,39.32624333,4.057308161,9.601202221,0,,,,100
3-101-3,"Mn2O3, Y2O3, 6NaCl",4,24,O2,,16.52,12.53,8.04,0,17.27,45.64,0,0,0,0,,,0.07315885,0.079369101,0.020116093,0,0.090022936,0.780971937,0,0,0,0,1.043638917,0.26266698,,,,7.009977221,7.605034639,1.927495472,0,8.625869953,74.83162272,0,0,0,0,100,,,,27.85232095,30.21662681,7.658401852,0,34.27265038,0,,,,100
3-103-1,"Mn2O3, Y2O3",3,24,O2,,37.3,33.29,15.18,0,14.23,0,0,0,0,0,,,0.165183119,0.210869703,0.037980384,0,0.074176397,0,0,0,0,0,0.488209603,0.488209603,,,,33.83446733,43.19245294,7.779524223,0,15.19355551,0,0,0,0,0,100,,,,,,,,,,,,,
3-103-2,"mNaMnO2, YOCl",6,24,O2,,25.26,0,17.33,16.21,7.89,21.25,12.05,0,0,0,,,0.111863956,0,0.043359688,0.058146208,0.041128023,0.363620808,0.016771401,0,0,0,0.634890085,0.271269277,,,,17.61942093,0,6.829479433,9.158468511,6.477975377,57.273033,2.641622753,0,0,0,100,,,,41.23723766,0,15.98400241,21.43486691,15.16132745,6.182565576,,,,100
3-103-3,Y2Mn2O7,5,24,O2,,3.66,6.02,90.32,0,0,0,0,0,0,0,,,0.016208317,0.038132641,0.225980785,0,0,0,0,0,0,0,0.280321742,0.280321742,,,,5.782040524,13.60316916,80.61479031,0,0,0,0,0,0,0,100,,,,,,,,,,,,,
HB2A,Y2Mn2O7,5,0,O2,,2.01,0,97.99,0,0,0,0,0,0,0,,,0.008901289,0,0.245171137,0,0,0,0,0,0,0,0.254072426,0.254072426,,,,3.503445395,0,96.49655461,0,0,0,0,0,0,0,100,,,,,,,,,,,,,
3-105-1,"BMY2O3, MnO2",7,24,O2,,37.44,17.93,8.91,35.71,0,0,0,0,0,0,,,0.165803109,0.11357446,0.022292834,0.128093837,0,0,0,0,0,0,0.429764241,0.429764241,,,,38.58001508,26.42715454,5.187224102,29.80560627,0,0,0,0,0,0,100,,,,,,,,,,,,,
3-105-2,"Y2O3, BMMnO2",7,24,O2,,37.38,19.75,32.93,0,9.93,0,0,0,0,0,,,0.165537399,0.125102933,0.082390913,0,0.051761885,0,0,0,0,0,0.424793129,0.424793129,,,,38.96894449,29.45031928,19.39553799,0,12.18519824,0,0,0,0,0,100,,,,,,,,,,,,,
3-105-3,"BMY2O3, BMMnO2",7,24,O2,,38.63,18.33,15.13,27.91,0,0,0,0,0,0,,,0.171073026,0.11610819,0.037855284,0.100114786,0,0,0,0,0,0,0.425151286,0.425151286,,,,40.23815321,27.30985275,8.903956178,23.54803785,0,0,0,0,0,0,100,,,,,,,,,,,,,
3-104-1,"MnO2, Y2O3",1,72,O2,,23.82,11.89,50.26,14.03,0,0,0,0,0,0,,,0.105486914,0.075315133,0.1257506,0.050326422,0,0,0,0,0,0,0.356879069,0.356879069,,,,29.5581677,21.10382457,35.2361938,14.10181392,0,0,0,0,0,0,100,,,,,,,,,,,,,
3-104-2,"MnO2, Y2O3, 6NaCl",2,72,O2,,12.15,3.45,17.69,15.87,0,50.84,0,0,0,0,,,0.053806297,0.021853424,0.044260408,0.056926609,0,0.869952088,0,0,0,0,1.046798826,0.176846738,,,,5.140080024,2.087643124,4.228167556,5.438161316,0,83.10594798,0,0,0,0,100,,,,30.42538296,12.35726705,25.02755142,32.18979857,0,0,,,,100
3-104-3,Y2Mn2O7,5,72,O2,,4.08,5.02,90.91,0,0,0,0,0,0,0,,,0.018068287,0.031798315,0.227456966,0,0,0,0,0,0,0,0.277323568,0.277323568,,,,6.51523692,11.46614234,82.01862074,0,0,0,0,0,0,0,100,,,,,,,,,,,,,0
3-108-1,"MnO2, Y2O3",1,12,Air,,48.49,32.33,8.37,10.81,0,0,0,0,0,0,,,0.214738054,0.20478875,0.020941753,0.038776096,0,0,0,0,0,0,0.479244654,0.479244654,,,,44.80760557,42.731567,4.369741685,8.091085744,0,0,0,0,0,0,100,,,,,,,,,,,,,0
3-108-2,"MnO2, Y2O3, 6NaCl",2,12,Air,,29.22,9.13,4.18,0,0,57.47,0,0,0,0,,,0.129400824,0.057832394,0.010458367,0,0,0.98340178,0,0,0,0,1.181093364,0.197691584,,,,10.95601988,4.896513309,0.885481793,0,0,83.26198502,0,0,0,0,100,,,,65.45590915,29.25384709,5.29024376,0,0,0,0,,,100
3-108-3,"Mn2O3, Y2O3",3,12,Air,,53.53,34.68,0,0,11.79,0,0,0,0,0,,,0.237057703,0.219674416,0,0,0.061457465,0,0,0,0,0,0.518189584,0.518189584,,,,45.74729228,42.39267299,0,0,11.86003472,0,0,0,0,0,100,,,,,,,,,,,,,0
