Scan Number,Temperature,Time,P3lpa,P3lpb,P3lpc,P3beta,P3Na,P3Mn,P3O,rwp,gof
165,567.8,54.66666667,5.032847962,2.878526937,6.018144771,107.0110403,0.09303,0.29501,0.91645,6.92588,7.74762
166,570.6,55,4.995508105,2.854769908,6.041640191,107.6302607,0.09077,0.2035,1.1,6.74853,7.57225
167,573.9,55.33333333,5.038654739,2.884482124,6.006969773,107.0804818,0.09526,0.37322,1.09985,6.5627,7.3488
168,577.5,55.66666667,5.058630337,2.926194701,6.002974535,107.0367337,0.07982,0.42471,1.09999,6.87552,7.67128
169,580.9,56,4.967059455,2.928620703,5.966356261,105.9949572,0.1102,0.4362,1.1,5.85507,6.51326
170,584.4,56.33333333,5.051211626,2.928763541,5.997783032,106.9261447,0.09541,0.47616,1.1,6.21088,6.96165
171,587.8,56.66666667,5.048951279,2.931105233,5.995236639,106.9120087,0.0915,0.50701,1.09816,5.93933,6.63049
172,591.1,57,5.040829889,2.933447957,5.98658099,106.7476482,0.1066,0.53758,1.03505,5.25097,5.87386
173,594.6,57.33333333,5.007127622,2.930957222,5.969834664,106.3004345,0.09838,0.62017,1.05323,4.99223,5.60527
174,598.2,57.66666667,5.009575692,2.932530024,5.968375334,106.3029263,0.09722,0.68301,1.06048,4.80592,5.37617
175,601,58,5.019050149,2.931383953,5.971212666,106.4210802,0.08555,0.71489,1.04805,4.67371,5.24911
176,604.1,58.33333333,5.038793381,2.936338775,5.982661294,106.705853,0.10174,0.72089,1.09997,4.58794,5.13974
177,607.2,58.66666667,5.052493,2.935631616,5.989458696,106.890624,0.10047,0.68451,1.01889,4.56748,5.12336
178,610.7,59,5.054510371,2.93777107,5.990102748,106.9073499,0.10185,0.71231,1.02475,4.51012,5.01758
179,614.4,59.33333333,5.054641962,2.937644091,5.990494029,106.9077951,0.09636,0.73212,1.00591,4.46592,5.01664
180,617.5,59.66666667,5.052886986,2.937055625,5.99004878,106.8775124,0.09352,0.76117,1.00634,4.47147,5.04518
