Scan Number,Temperature,Time,Rwp,Goof,Scale_YCl3,Mass_YCl3,Volume_YCl3,Scale_Na2CO3,Mass_Na2CO3,Volume_Na2CO3,Scale_Mn2O3,Mass_Mn2O3,Volume_Mn2O3,Scale_NaCl,Mass_NaCl,Volume_NaCl,Scale_YOCl,Mass_YOCl,Volume_YOCl,Scale_Y3O4Cl,Mass_Y3O4Cl,Volume_Y3O4Cl,Scale_Y2O3,Mass_Y2O3,Volume_Y2O3,Scale_NaxMnO2,Mass_NaxMnO2,Volume_NaxMnO2,Scale_Y2Mn2O7,Mass_Y2Mn2O7,Volume_Y2Mn2O7,Scale_Na3MnO4,Mass_Na3MnO4,Volume_Na3MnO4,,,,YCl$_3$,Na$_2$CO$_3$,Mn$_2$O$_3$,NaCl,YOCl,Y$_3$O$_4$Cl,Y$_2$O$_3$,P3-Na$_x$MnO$_2$,P2-Na$_x$MnO$_2$,Y$_2$Mn$_2$O$_7$,Na$_3$MnO$_4$
1,24.9,0,12.92582,14.82429,0.000004497,781.0594,495.2010348,0.000080486,423.95376,277.1439954,0.000002501,2525.98877,835.1895429,,,,,,,,,,,,,,,,,,,,,,,,,1.73935606,9.456802283,5.276308195,,,,,,,,
2,24.9,0.333333333,12.92758,14.90533,0.000004549,781.0594,495.2010348,0.000081428,423.95376,277.1467739,0.00000253,2525.98877,835.1996973,,,,,,,,,,,,,,,,,,,,,,,,,1.759468694,9.56757966,5.337553792,,,,,,,,
3,25.2,0.666666667,12.92803,14.87377,0.000004531,781.0594,495.2010348,0.000081081,423.95376,277.1536458,0.000002522,2525.98877,835.2012792,,,,,,,,,,,,,,,,,,,,,,,,,1.752506628,9.527044274,5.320686229,,,,,,,,
4,27.3,1,12.92894,14.89666,0.00000454,781.0594,495.2010348,0.00008137,423.95376,277.1610754,0.000002531,2525.98877,835.135925,,,,,,,,,,,,,,,,,,,,,,,,,1.755987661,9.561258173,5.339255783,,,,,,,,
5,30.7,1.333333333,12.93088,15.00131,0.000004592,781.0594,495.2010348,0.000082584,423.95376,277.2007406,0.000002568,2525.98877,834.9982773,,,,,,,,,,,,,,,,,,,,,,,,,1.776100295,9.705296145,5.416416025,,,,,,,,
6,34.4,1.666666667,12.92715,14.91424,0.000004531,781.0594,495.2010348,0.000081191,423.95376,277.2608048,0.000002544,2525.98877,834.8604842,,,,,,,,,,,,,,,,,,,,,,,,,1.752506628,9.543657857,5.36490984,,,,,,,,
7,39,2,12.90181,14.89518,0.000004538,781.0594,495.2010348,0.000081035,423.95376,277.4536344,0.000002546,2525.98877,834.8778401,,,,,,,,,,,,,,,,,,,,,,,,,1.755214098,9.531945397,5.369239155,,,,,,,,
8,43.2,2.333333333,12.91722,14.81701,0.000004478,781.0594,495.2010348,0.000079695,423.95376,277.5296357,0.000002516,2525.98877,834.8646489,,,,,,,,,,,,,,,,,,,,,,,,,1.732007213,9.376892386,5.305888558,,,,,,,,
9,46.2,2.666666667,12.97608,14.96832,0.000004526,781.0594,495.2010348,0.000080469,423.95376,277.6313663,0.000002544,2525.98877,834.7286887,,,,,,,,,,,,,,,,,,,,,,,,,1.750572721,9.471431574,5.364062907,,,,,,,,
10,49.7,3,13.05046,15.05167,0.000004525,781.0594,495.2010348,0.000080169,423.95376,277.7940258,0.000002541,2525.98877,834.7566961,,,,,,,,,,,,,,,,,,,,,,,,,1.75018594,9.441649176,5.357917128,,,,,,,,
