Scan No,Y2O3LVol,Y2O3LVolerr,Y2O3LVolf,Y2O3LVolferr,Y2O3e0
142,6.365480000,4.011420000,8.899000000,5.608010000,0.000170000
143,6.150160000,4.110280000,8.597980000,5.746210000,0.000060000
144,6.236190000,3.902200000,8.718250000,5.455300000,0.000070000
145,2.840870000,676.555130000,3.971560000,945.829990000,0.005460000
146,5.255530000,3.057200000,7.347280000,4.273990000,0.000060000
147,5.544460000,4.092210000,7.751210000,5.720940000,0.001250000
148,3.962760000,2.649150000,5.539970000,3.703540000,0.001990000
149,3.439910000,2.087700000,4.809030000,2.918620000,0.001330000
150,4.967290000,12.780000000,6.944310000,17.866550000,0.000040000
151,3.815080000,2.816400000,5.333510000,3.937350000,0.002350000
152,5.872680000,11.152630000,8.210050000,15.591480000,0.008730000
153,8.701740000,14.040580000,12.165110000,19.628850000,0.000040000
154,5.521920000,9.876350000,7.719690000,13.807220000,0.007500000
155,9.185500000,11.017840000,12.841410000,15.403030000,0.000070000
156,9.011280000,9.561800000,12.597850000,13.367480000,0.000150000
157,8.541600000,8.112620000,11.941240000,11.341520000,0.000100000
158,8.855220000,7.256880000,12.379670000,10.145170000,0.000090000
159,8.012700000,5.424670000,11.201830000,7.583730000,0.000020000
160,8.258800000,4.897520000,11.545880000,6.846780000,0.000010000
161,8.636170000,4.611180000,12.073440000,6.446470000,0.000030000
162,9.052500000,4.348100000,12.655470000,6.078690000,0.000030000
163,9.407850000,4.216630000,13.152260000,5.894880000,0.000080000
164,9.793420000,4.029680000,13.691280000,5.633520000,0.000070000
165,10.797760000,4.282270000,15.095370000,5.986640000,0.000190000
166,11.641740000,4.527860000,16.275260000,6.329990000,0.000290000
167,12.968790000,5.130000000,18.130480000,7.171780000,0.000490000
168,13.220850000,4.942250000,18.482860000,6.909310000,0.000480000
169,14.213490000,5.363120000,19.870580000,7.497680000,0.000620000
170,15.871180000,6.297610000,22.188050000,8.804120000,0.000820000
171,16.635550000,6.506010000,23.256650000,9.095460000,0.000860000
172,17.214790000,6.580640000,24.066420000,9.199800000,0.000890000
173,17.908110000,6.768220000,25.035700000,9.462030000,0.000930000
174,18.613570000,6.992890000,26.021940000,9.776130000,0.000970000
175,18.947290000,6.930150000,26.488470000,9.688410000,0.000950000
176,19.639400000,7.154630000,27.456050000,10.002240000,0.000990000
177,20.302610000,7.383610000,28.383230000,10.322350000,0.001010000
178,20.426460000,7.234270000,28.556370000,10.113570000,0.000980000
179,20.930530000,7.372910000,29.261070000,10.307390000,0.000990000
180,22.070210000,7.931300000,30.854350000,11.088030000,0.001030000
181,22.070210000,7.931300000,30.854350000,11.088030000,0.001030000
182,23.623310000,8.275710000,33.025600000,11.569520000,0.001000000
183,24.616030000,8.544660000,34.413430000,11.945500000,0.000970000
184,25.257420000,8.680430000,35.310090000,12.135320000,0.000950000
185,25.138970000,8.425950000,35.144500000,11.779550000,0.000910000
186,25.567680000,8.571090000,35.743840000,11.982460000,0.000900000
187,26.026120000,8.751570000,36.384740000,12.234780000,0.000900000
188,26.149370000,8.787530000,36.557040000,12.285040000,0.000890000
189,26.017470000,8.633120000,36.372650000,12.069170000,0.000870000
190,26.055550000,8.613620000,36.425880000,12.041910000,0.000860000
191,26.456940000,8.863190000,36.987030000,12.390820000,0.000860000
192,26.413430000,8.830940000,36.926210000,12.345730000,0.000850000
193,26.747760000,9.050000000,37.393610000,12.651980000,0.000850000
194,26.660440000,9.002710000,37.271530000,12.585870000,0.000830000
195,26.924720000,9.188680000,37.640990000,12.845850000,0.000830000
196,26.696540000,9.061810000,37.322000000,12.668480000,0.000800000
197,26.423240000,8.917430000,36.939920000,12.466650000,0.000780000
198,26.984100000,9.329850000,37.724000000,13.043210000,0.000790000
199,26.456490000,9.098900000,36.986410000,12.720350000,0.000740000
200,26.298910000,8.977360000,36.766110000,12.550420000,0.000720000
201,26.120530000,8.901760000,36.516720000,12.444740000,0.000690000
202,26.215670000,9.044230000,36.649740000,12.643910000,0.000680000
203,25.903790000,8.904890000,36.213730000,12.449120000,0.000650000
204,25.787710000,8.879860000,36.051440000,12.414120000,0.000630000
