'y-axis saved as y
'x,PKT-3-101-3_Mn2O3_Y2O3_6NaCl_FlowO2_650_24.raw,Diff,Ycalc,Bkg
10.0001,2284,-240.168816,2524.16882,2524.16876
10.0205353,2229,-282.546759,2511.54676,2511.54656
10.0409706,2163,-335.945702,2498.9457,2498.94508
10.061406,2218,-268.366452,2486.36645,2486.36478
10.0818413,2326,-147.810232,2473.81023,2473.80611
10.1022766,2235,-226.27937,2461.27937,2461.26951
10.1227119,2215,-233.77945,2448.77945,2448.75541
10.1431472,2228,-208.319314,2436.31931,2436.26425
10.1635825,2237,-186.891433,2423.89143,2423.79645
10.1840179,2202,-209.464847,2411.46485,2411.35242
10.2044532,2192,-207.048535,2399.04854,2398.93258
10.2248885,2135,-251.654306,2386.65431,2386.53733
10.2453238,2181,-193.284944,2374.28494,2374.16708
10.2657591,2196,-165.940979,2361.94098,2361.82221
10.2861944,2101,-248.622801,2349.6228,2349.50312
10.3066298,2095,-242.330791,2337.33079,2337.21018
10.3270651,2136,-189.065329,2325.06533,2324.94379
10.3475004,2142,-170.826786,2312.82679,2312.7043
10.3679357,2243,-57.6155277,2300.61553,2300.49208
10.388371,2192,-96.431916,2288.43192,2288.3075
10.4088063,2208,-68.2763062,2276.27631,2276.15091
10.4292417,2138,-126.149048,2264.14905,2264.02267
10.449677,2044,-208.050487,2252.05049,2251.9231
10.4701123,2114,-125.980962,2239.98096,2239.85256
10.4905476,2155,-72.9408077,2227.94081,2227.81138
10.5109829,2118,-97.9303525,2215.93035,2215.79989
10.5314182,2157,-46.9499203,2203.94992,2203.8184
10.5518536,2099,-92.9998299,2191.99983,2191.86725
10.5722889,2075,-105.080395,2180.08039,2179.94674
10.5927242,2203,34.808077,2168.19192,2168.05717
10.6131595,2112,-44.3347185,2156.33472,2156.19886
10.6335948,2127,-17.5090794,2144.50908,2144.37211
10.6540301,2033,-99.7152992,2132.7153,2132.5772
10.6744655,2063,-57.9536665,2120.95367,2120.81442
10.6949008,2051,-58.224465,2109.22447,2109.08406
10.7153361,2068,-29.5279736,2097.52797,2097.38639
10.7357714,2060,-25.8644662,2085.86447,2085.72169
10.7562067,2026,-48.2342122,2074.23421,2074.09024
10.776642,2094,31.3625239,2062.63748,2062.49228
10.7970774,2029,-22.074518,2051.07452,2050.92809
10.8175127,2119,79.4544071,2039.54559,2039.39791
10.837948,2015,-13.0509517,2028.05095,2027.902
10.8583833,2014,-2.59084041,2016.59084,2016.44061
10.8788186,1935,-70.1655006,2005.1655,2005.01397
10.8992539,2007,13.2248307,1993.77517,1993.62232
10.9196893,2036,53.5799209,1982.42008,1982.2659
10.9401246,1998,26.8995417,1971.10046,1970.94493
10.9605599,1965,5.18346925,1959.81653,1959.65963
10.9809952,1961,12.4314841,1948.56852,1948.41023
11.0014305,2047,109.64337,1937.35663,1937.19693
11.0218658,1972,45.8189148,1926.18109,1926.01996
11.0423012,1944,28.9579045,1915.0421,1914.87951
11.0627365,1881,-22.9398776,1903.93988,1903.77579
11.0831718,1975,82.1253368,1892.87466,1892.709
11.1036071,1969,87.1532717,1881.84673,1881.67933
11.1240424,1995,124.143507,1870.85649,1870.68697
11.1444777,1960,100.09541,1859.90459,1859.7321
11.1649131,1944,95.0089077,1848.99109,1848.81491
11.1853484,1972,133.885277,1838.11472,1837.93557
11.2057837,1961,133.724651,1827.27535,1827.09427
11.226219,1982,165.526065,1816.47393,1816.29116
11.2466543,2008,202.289107,1805.71089,1805.52641
11.2670896,1867,72.0135999,1794.9864,1794.80019
11.287525,1864,79.6993845,1784.30062,1784.11265
11.3079603,2026,252.346306,1773.65369,1773.46396
11.3283956,1855,91.9542104,1763.04579,1762.85425
11.3488309,1883,130.52294,1752.47706,1752.28367
11.3692662,1829,87.0523217,1741.94768,1741.75237
11.3897015,1864,132.542147,1731.45785,1731.2605
11.4101369,1947,225.992133,1721.00787,1720.80817
11.4305722,1873,162.401828,1710.59817,1710.39553
11.4510075,1891,190.770339,1700.22966,1700.02271
11.4714428,1931,241.095471,1689.90453,1689.68982
11.4918781,1867,187.373546,1679.62645,1679.397
11.5123134,1788,118.606635,1669.39337,1669.14435
11.5327488,1776,116.806997,1659.193,1658.932
11.5531841,1805,155.974063,1649.02594,1648.76005
11.5736194,1815,176.101663,1638.89834,1638.62862
11.5940547,1850,221.187308,1628.81269,1628.5378
11.61449,1746,127.228912,1618.77109,1618.4877
11.6349253,1756,147.221239,1608.77876,1608.47842
11.6553607,1773,174.155794,1598.84421,1598.51005
11.675796,1741,152.040348,1588.95965,1588.58268
11.6962313,1719,139.90603,1579.09397,1578.6964
11.7166666,1700,130.7443,1569.2557,1568.8513
11.7371019,1805,245.543754,1559.45625,1559.04745
11.7575372,1693,143.30194,1549.69806,1549.28494
11.7779726,1704,164.018646,1539.98135,1539.56384
11.7984079,1681,150.693798,1530.3062,1529.88423
11.8188432,1655,134.327324,1520.67268,1520.24617
11.8392785,1650,138.919156,1511.08084,1510.64973
11.8597138,1653,151.469229,1501.53077,1501.09497
11.8801491,1691,198.977482,1492.02252,1491.58195
11.9005845,1690,207.443853,1482.55615,1482.11074
11.9210198,1693,219.868288,1473.13171,1472.68139
11.9414551,1678,214.250732,1463.74927,1463.29394
11.9618904,1638,183.591134,1454.40887,1453.94846
11.9823257,1692,246.889446,1445.11055,1444.64497
12.002761,1714,278.145623,1435.85438,1435.38354
12.0231964,1596,169.359621,1426.64038,1426.16419
12.0436317,1587,169.531401,1417.4686,1416.98697
12.064067,1555,146.660925,1408.33907,1407.85191
12.0845023,1594,194.748159,1399.25184,1398.75905
12.1049376,1583,192.793069,1390.20693,1389.70841
12.1253729,1607,225.795627,1381.20437,1380.70003
12.1458083,1532,159.755805,1372.2442,1371.73392
12.1662436,1490,126.673578,1363.32642,1362.81011
12.1866789,1527,172.548924,1354.45108,1353.92862
12.2071142,1516,170.381824,1345.61818,1345.08946
12.2275495,1485,148.172259,1336.82774,1336.29266
12.2479848,1433,104.920215,1328.07978,1327.53822
12.2684202,1477,157.62568,1319.37432,1318.82615
12.2888555,1505,194.288642,1310.71136,1310.15647
12.3092908,1420,117.909095,1302.09091,1301.52917
12.3297261,1471,177.487031,1293.51297,1292.94425
12.3501614,1465,180.022448,1284.97755,1284.40173
12.3705967,1541,264.515344,1276.48466,1275.90159
12.3910321,1508,239.965721,1268.03428,1267.44384
12.4114674,1375,115.37358,1259.62642,1259.02846
12.4319027,1371,119.738928,1251.26107,1250.65545
12.452338,1339,96.0617677,1242.93823,1242.32479
12.4727733,1398,163.342099,1234.6579,1234.03648
12.4932086,1364,137.579904,1226.4201,1225.7905
12.513644,1388,169.775126,1218.22487,1217.58682
12.5340793,1255,44.9276342,1210.07237,1209.42544
12.5545146,1371,169.037122,1201.96288,1201.30632
12.5749499,1259,65.1028328,1193.89717,1193.22945
12.5953852,1295,109.122701,1185.8773,1185.1948
12.6158205,1300,122.093134,1177.90687,1177.20233
12.6362559,1275,105.016091,1169.98391,1169.25203
12.6566912,1253,90.9034791,1162.09652,1161.34386
12.6771265,1229,74.7551881,1154.24481,1153.47779
