'y-axis saved as y
'x,PKT-3-103-1_Mn2O3_Y2O3_FlowO2_650_24.raw,Diff,Bkg,Ycalc
10.0001,2230,-356.653861,2586.58865,2586.65386
10.0205353,2249,-324.01088,2572.94519,2573.01088
10.0409706,2325,-234.391637,2559.32547,2559.39164
10.061406,2249,-296.796649,2545.72999,2545.79665
10.0818413,2262,-270.226427,2532.15928,2532.22643
10.1022766,2269,-249.681475,2518.61383,2518.68148
10.1227119,2188,-317.162289,2505.09413,2505.16229
10.1431472,2224,-267.669357,2491.60069,2491.66936
10.1635825,2205,-273.203162,2478.13398,2478.20316
10.1840179,2279,-185.76418,2464.69448,2464.76418
10.2044532,2195,-256.352878,2451.28264,2451.35288
10.2248885,2232,-205.969718,2437.89895,2437.96972
10.2453238,2255,-169.615155,2424.54385,2424.61516
10.2657591,2196,-215.289637,2411.21778,2411.28964
10.2861944,2129,-268.993605,2397.9212,2397.9936
10.3066298,2197,-187.727494,2384.65453,2384.72749
10.3270651,2091,-280.491731,2371.4182,2371.49173
10.3475004,2193,-165.28674,2358.21263,2358.28674
10.3679357,2120,-225.112933,2345.03825,2345.11293
10.388371,2152,-179.970721,2331.89545,2331.97072
10.4088063,2157,-161.860506,2318.78464,2318.86051
10.4292417,2130,-175.782683,2305.70622,2305.78268
10.449677,2214,-78.7376454,2292.66057,2292.73765
10.4701123,2156,-123.725785,2279.64808,2279.72579
10.4905476,2119,-147.747506,2266.66913,2266.74751
10.5109829,2129,-124.803236,2253.72408,2253.80324
10.5314182,2067,-173.893467,2240.81331,2240.89347
10.5518536,2156,-72.0188304,2227.93716,2228.01883
10.5722889,2223,7.8196586,2215.096,2215.18034
10.5927242,2054,-148.380146,2202.29017,2202.38015
10.6131595,2111,-78.6215827,2189.52001,2189.62158
10.6335948,2085,-91.9025514,2176.78586,2176.90255
10.6540301,2148,-16.2124654,2164.08805,2164.21247
10.6744655,2184,32.4464554,2151.42689,2151.55354
10.6949008,2091,-47.9304891,2138.80272,2138.93049
10.7153361,2180,53.6553262,2126.21583,2126.34467
10.7357714,2074,-39.7964693,2113.66654,2113.79647
10.7562067,2024,-77.2861775,2101.15516,2101.28618
10.776642,2023,-65.8140945,2088.68196,2088.81409
10.7970774,2021,-55.3805106,2076.24725,2076.38051
10.8175127,2060,-3.98571116,2063.85132,2063.98571
10.837948,2041,-10.6299757,2051.49443,2051.62998
10.8583833,2140,100.686421,2039.17686,2039.31358
10.8788186,2064,36.9632105,2026.89889,2027.03679
10.8992539,2042,27.2001283,2014.66077,2014.79987
10.9196893,2021,18.396916,2002.46277,2002.60308
10.9401246,1949,-41.4466801,1990.30513,1990.44668
10.9605599,2043,64.6690916,1978.18812,1978.33091
10.9809952,1991,24.7439878,1966.11196,1966.25601
11.0014305,1965,10.7777701,1954.07689,1954.22223
11.0218658,2131,188.770205,1942.08316,1942.22979
11.0423012,1960,29.7210644,1930.13099,1930.27894
11.0627365,2021,102.630124,1918.22059,1918.36988
11.0831718,1979,72.4971665,1906.3522,1906.50283
