'y-axis saved as y
'x,PKT-3-103-2_mNaMnO2_YOCl_FlowO2_650_24.raw,Diff,Bkg,Ycalc
10.0001,2145,-319.209193,2462.51153,2464.20919
10.0205353,2153,-297.45857,2448.73719,2450.45857
10.0409706,2156,-280.743696,2434.9981,2436.7437
10.061406,2146,-277.064953,2421.29462,2423.06495
10.0818413,2220,-189.422716,2407.62711,2409.42272
10.1022766,2117,-278.817356,2393.99593,2395.81736
10.1227119,2163,-219.249239,2380.40142,2382.24924
10.1431472,2146,-222.718723,2366.84394,2368.71872
10.1635825,2146,-209.226164,2353.32381,2355.22616
10.1840179,2083,-258.77191,2339.84137,2341.77191
10.2044532,2116,-212.356307,2326.39694,2328.35631
10.2248885,2209,-105.979693,2312.99085,2314.97969
10.2453238,2118,-183.642403,2299.62341,2301.6424
10.2657591,2148,-140.344767,2286.29492,2288.34477
10.2861944,2090,-185.08711,2273.0057,2275.08711
10.3066298,2144,-117.869751,2259.75603,2261.86975
10.3270651,2086,-162.693007,2246.54621,2248.69301
10.3475004,2036,-199.557188,2233.37654,2235.55719
10.3679357,2146,-76.4626011,2220.24727,2222.4626
10.388371,2149,-60.4095491,2207.15871,2209.40955
10.4088063,2106,-90.3983301,2194.11111,2196.39833
10.4292417,2005,-178.429238,2181.10474,2183.42924
10.449677,2051,-119.502563,2168.13986,2170.50256
10.4701123,2089,-68.6185913,2155.21673,2157.61859
10.4905476,2125,-19.7776052,2142.33559,2144.77761
10.5109829,2058,-73.9798834,2129.4967,2131.97988
10.5314182,2021,-98.2257009,2116.70028,2119.2257
10.5518536,2009,-97.5153294,2103.94659,2106.51533
10.5722889,2025,-68.8490371,2091.23584,2093.84904
10.5927242,1976,-105.227089,2078.56826,2081.22709
10.6131595,2018,-50.6497474,2065.94408,2068.64975
10.6335948,1985,-71.1172709,2053.3635,2056.11727
10.6540301,2018,-25.6299158,2040.82674,2043.62992
10.6744655,1934,-97.1879358,2028.33401,2031.18794
10.6949008,1960,-58.7915819,2015.8855,2018.79158
10.7153361,2035,28.5588973,2003.48142,2006.4411
10.7357714,1949,-45.1367448,1991.12194,1994.13674
10.7562067,2054,72.1212473,1978.80727,1981.87875
10.776642,2014,44.3326308,1966.53759,1969.66737
10.7970774,2040,82.4971646,1954.31307,1957.50284
10.8175127,1976,30.614609,1942.13388,1945.38539
10.837948,1980,46.6847254,1930.00021,1933.31527
10.8583833,1927,5.70727627,1917.9122,1921.29272
10.8788186,1938,28.6820247,1905.87003,1909.31798
10.8992539,2009,111.608734,1893.87385,1897.39127
10.9196893,1899,13.4871687,1881.92381,1885.51283
10.9401246,1994,120.317092,1870.02006,1873.68291
10.9605599,1874,12.0982663,1858.16274,1861.90173
10.9809952,1834,-16.1695448,1846.352,1850.16954
11.0014305,1848,9.51341965,1834.58797,1838.48658
11.0218658,2022,195.14692,1822.87078,1826.85308
11.0423012,1901,85.730713,1811.20056,1815.26929
11.0627365,1936,132.132953,1799.57743,1803.86705
11.0831718,1895,102.615846,1788.00151,1792.38415
11.1036071,1922,141.048284,1776.47292,1780.95172
11.1240424,1854,84.430014,1764.99178,1769.56999
11.1444777,1870,111.760777,1753.55818,1758.23922
11.1649131,1853,106.040311,1742.17223,1746.95969
11.1853484,1821,85.2683453,1730.83404,1735.73165
11.2057837,1842,117.444606,1719.5437,1724.55539
11.226219,1844,130.568812,1708.3013,1713.43119
11.2466543,1836,133.640672,1697.10693,1702.35933
11.2670896,1840,148.659888,1685.96068,1691.34011
11.287525,1735,54.6261524,1674.86263,1680.37385
11.3079603,1872,202.539146,1663.81287,1669.46085
11.3283956,1747,88.3478802,1652.81145,1658.65212
11.3488309,1860,212.152833,1641.85846,1647.84717
11.3692662,1758,120.903475,1630.95397,1637.09652
11.3897015,1748,121.599435,1620.09803,1626.40056
11.4101369,1800,184.240321,1609.29072,1615.75968
11.4305722,1794,188.825724,1598.53208,1605.17428
11.4510075,1746,151.355212,1587.82218,1594.64479
11.4714428,1756,171.828333,1577.16106,1584.17167
11.4918781,1678,104.244608,1566.54878,1573.75539
11.5123134,1771,207.603531,1555.98537,1563.39647
11.5327488,1751,197.904565,1545.47088,1553.09543
11.5531841,1742,199.147142,1535.00535,1542.85286
11.5736194,1764,231.330655,1524.58881,1532.66934
11.5940547,1668,145.45446,1514.2213,1522.54554
11.61449,1724,211.517866,1503.90284,1512.48213
11.6349253,1657,154.520135,1493.63347,1502.47986
11.6553607,1661,168.460477,1483.4132,1492.53952
11.675796,1648,165.338042,1473.24205,1482.66196
11.6962313,1614,141.151917,1463.12005,1472.84808
11.7166666,1628,164.901116,1453.04721,1463.09888
11.7371019,1622,168.584577,1443.02353,1453.41542
11.7575372,1625,181.201149,1433.04903,1443.79885
11.7779726,1578,143.749588,1423.12371,1434.25041
11.7984079,1606,181.228541,1413.24758,1424.77146
11.8188432,1585,169.63654,1403.42064,1415.36346
11.8392785,1542,135.971987,1393.64288,1406.02801
11.8597138,1556,159.233136,1383.9143,1396.76686
11.8801491,1580,192.418083,1374.23489,1387.58192
11.9005845,1590,211.524743,1364.60465,1378.47526
11.9210198,1544,174.550831,1355.02355,1369.44917
11.9414551,1530,169.493839,1345.49158,1360.50616
11.9618904,1524,172.351007,1336.00873,1351.64899
11.9823257,1509,166.119297,1326.57497,1342.8807
12.002761,1487,152.795353,1317.19029,1334.20465
12.0231964,1454,128.375466,1307.85464,1325.62453
12.0436317,1520,202.85553,1298.56802,1317.14447
12.064067,1436,127.230985,1289.33038,1308.76901
12.0845023,1478,177.496767,1280.1417,1300.50323
12.1049376,1449,156.638309,1271.00194,1292.36169
12.1253729,1455,170.667085,1261.91105,1284.33292
12.1458083,1460,183.567214,1252.86901,1276.43279
12.1662436,1440,171.330816,1243.87577,1268.66918
12.1866789,1393,131.94905,1234.93128,1261.05095
12.2071142,1426,172.41198,1226.0355,1253.58802
12.2275495,1406,159.708415,1217.18838,1246.29159
12.2479848,1374,134.825729,1208.38987,1239.17427
12.2684202,1265,32.7496551,1199.63991,1232.25034
12.2888555,1370,144.464043,1190.93845,1225.53596
12.3092908,1406,186.950583,1182.28544,1219.04942
12.3297261,1365,152.18849,1173.68081,1212.81151
12.3501614,1342,135.154142,1165.1245,1206.84586
12.3705967,1347,145.820673,1156.61645,1201.17933
12.3910321,1327,131.157514,1148.15659,1195.84249
12.4114674,1361,170.12989,1139.74486,1190.87011
12.4319027,1332,145.698278,1131.38118,1186.30172
12.452338,1336,153.81784,1123.06548,1182.18216
12.4727733,1265,86.4378709,1114.7977,1178.56213
12.4932086,1279,103.484419,1106.57776,1175.51558
12.513644,1225,51.8935586,1098.40557,1173.10644
12.5340793,1252,80.6452881,1090.28106,1171.35471
12.5545146,1212,41.6297289,1082.20415,1170.37027
12.5749499,1259,88.7655889,1074.17476,1170.23441
12.5953852,1240,68.9696296,1066.19281,1171.03037
12.6158206,1194,21.1615162,1058.2582,1172.83848
12.6362559,1336,160.271627,1050.37084,1175.72837
12.6566912,1197,17.2004867,1042.53066,1179.79951
12.6771265,1293,108.04475,1034.73756,1184.95525
12.6975618,1323,131.80784,1026.99144,1191.19216
12.7179971,1284,85.6362541,1019.29222,1198.36375
12.7384325,1301,94.8000265,1011.63979,1206.19997
12.7588678,1332,117.722455,1004.03406,1214.27755
12.7793031,1290,67.9970001,996.474932,1222.003
12.7997384,1320,91.3771959,988.962301,1228.6228
12.8201737,1381,147.725612,981.496068,1233.27439
12.840609,1303,67.9159828,974.076127,1235.08402
12.8610444,1330,96.6994857,966.702376,1233.30051
12.8814797,1271,43.5663399,959.374706,1227.43366
