'y-axis saved as y
'x,PKT-3-104-2_2MnO2_Y2O3_6NaCl_FlowO2_650_72.raw,Diff,Bkg,Ycalc
10.0001,2151,-466.315947,2617.31595,2617.31595
10.0205353,2248,-354.546479,2602.54648,2602.54648
10.0409706,2233,-354.818882,2587.81888,2587.81888
10.061406,2180,-393.133459,2573.13346,2573.13346
10.0818413,2282,-276.490511,2558.49051,2558.49051
10.1022766,2259,-284.890331,2543.89033,2543.89033
10.1227119,2238,-291.333208,2529.33321,2529.33321
10.1431472,2232,-282.819426,2514.81943,2514.81943
10.1635825,2259,-241.349262,2500.34926,2500.34926
10.1840179,2221,-264.92299,2485.92299,2485.92299
10.2044532,2225,-246.540877,2471.54088,2471.54088
10.2248885,2204,-253.203187,2457.20319,2457.20319
10.2453238,2156,-286.910177,2442.91018,2442.91018
10.2657591,2220,-208.662099,2428.6621,2428.6621
10.2861944,2173,-241.459203,2414.4592,2414.4592
10.3066298,2234,-166.30173,2400.30173,2400.30173
10.3270651,2254,-132.189919,2386.18992,2386.18992
10.3475004,2214,-158.124003,2372.124,2372.124
10.3679357,2181,-177.104209,2358.10421,2358.10421
10.388371,2202,-142.130763,2344.13076,2344.13076
10.4088063,2104,-226.203882,2330.20388,2330.20388
10.4292417,2118,-198.323781,2316.32378,2316.32378
10.449677,2167,-135.49067,2302.49067,2302.49067
10.4701123,2108,-180.704752,2288.70475,2288.70475
10.4905476,2132,-142.96623,2274.96623,2274.96623
10.5109829,2115,-146.275298,2261.2753,2261.2753
10.5314182,2024,-223.632147,2247.63215,2247.63215
10.5518536,2213,-21.0369659,2234.03697,2234.03697
10.5722889,2145,-75.4899356,2220.48994,2220.48994
10.5927242,2142,-64.9912348,2206.99123,2206.99123
10.6131595,2078,-115.541038,2193.54104,2193.54104
10.6335948,2200,19.8604805,2180.13951,2180.13952
10.6540301,2115,-51.7868657,2166.78682,2166.78687
10.6744655,2132,-21.4832919,2153.48314,2153.48329
10.6949008,2194,53.7709241,2140.2286,2140.22908
10.7153361,2063,-64.0246272,2127.02338,2127.02463
10.7357714,2092,-21.8706559,2113.86761,2113.87066
10.7562067,2036,-64.7686835,2100.76144,2100.76868
10.776642,2100,12.2773788,2087.70502,2087.72262
10.7970774,2126,51.2615814,2074.69847,2074.73842
10.8175127,2098,36.1911904,2061.74193,2061.80881
10.837948,2031,-17.910953,2048.83553,2048.91095
10.8583833,2038,1.94378493,2035.9794,2036.05622
10.8788186,1993,-30.2511657,2023.17364,2023.25117
10.8992539,2072,61.5033959,2010.41839,2010.4966
10.9196893,2043,45.2073347,1997.71376,1997.79267
10.9401246,2082,96.860541,1985.05984,1985.13946
10.9605599,2016,43.4629092,1972.45676,1972.53709
10.9809952,2039,79.0143372,1959.9046,1959.98566
11.0014305,2004,56.5147266,1947.40347,1947.48527
11.0218658,1983,47.9639829,1934.95347,1935.03602
11.0423012,1875,-47.6379853,1922.55468,1922.63799
11.0627365,2030,119.708735,1910.20719,1910.29127
11.0831718,2031,133.004059,1897.91109,1897.99594
11.1036071,1955,69.247906,1885.66645,1885.75209
11.1240424,1896,22.4401998,1873.47336,1873.5598
11.1444777,1894,32.5808664,1861.33188,1861.41913
11.1649131,2015,165.669835,1849.24209,1849.33016
11.1853484,1892,54.7070401,1837.20405,1837.29296
11.2057837,1910,84.6924168,1825.21782,1825.30758
11.226219,1927,113.625905,1813.28348,1813.37409
11.2466543,1893,91.5074486,1801.40106,1801.49255
11.2670896,1940,150.336993,1789.57063,1789.66301
11.287525,1930,152.114488,1777.79224,1777.88551
11.3079603,1934,167.839886,1766.06593,1766.16011
11.3283956,1881,126.513143,1754.39175,1754.48686
11.3488309,1960,217.134218,1742.76974,1742.86578
11.3692662,1878,146.703073,1731.19993,1731.29693
11.3897015,1893,173.219673,1719.68237,1719.78033
11.4101369,1809,100.683985,1708.21708,1708.31601
11.4305722,1918,221.095982,1696.80408,1696.90402
11.4510075,1907,221.455637,1685.44342,1685.54436
11.4714428,1910,235.762927,1674.1351,1674.23707
11.4918781,1821,158.017832,1662.87916,1662.98217
11.5123134,1775,123.220334,1651.6756,1651.77967
11.5327488,1864,223.37042,1640.52444,1640.62958
11.5531841,1850,220.468077,1629.42569,1629.53192
11.5736194,1790,171.513297,1618.37937,1618.4867
11.5940547,1825,217.506074,1607.38547,1607.49393
11.61449,1853,256.446404,1596.44399,1596.5536
11.6349253,1818,232.334287,1585.55495,1585.66571
11.6553607,1866,291.169726,1574.71833,1574.83027
11.675796,1779,214.952723,1563.93414,1564.04728
11.6962313,1795,241.683288,1553.20236,1553.31671
11.7166666,1793,250.36143,1542.52298,1542.63857
11.7371019,1797,264.987161,1531.89599,1532.01284
11.7575372,1794,272.560496,1521.32138,1521.4395
11.7779726,1768,257.081453,1510.79912,1510.91855
11.7984079,1694,193.550053,1500.3292,1500.44995
11.8188432,1635,144.966316,1489.9116,1490.03368
11.8392785,1718,238.330269,1479.54628,1479.66973
11.8597138,1684,214.641939,1469.23322,1469.35806
11.8801491,1732,272.901355,1458.9724,1459.09865
11.9005845,1699,250.108549,1448.76377,1448.89145
11.9210198,1656,217.263555,1438.6073,1438.73644
11.9414551,1699,270.366404,1428.50296,1428.6336
11.9618904,1602,183.417115,1418.4507,1418.58288
11.9823257,1564,155.415675,1408.45049,1408.58433
