'y-axis saved as y
'x,PKT-3-104-3_Y2Mn2O7_FlowO2_650_72.raw,Diff,Bkg,Ycalc
10.0001,2088,-397.453524,2485.45219,2485.45352
10.0205353,2204,-266.914178,2470.91283,2470.91418
10.0409706,2093,-363.422087,2456.42073,2456.42209
10.061406,2140,-301.977464,2441.9761,2441.97746
10.0818413,2041,-386.580518,2427.57915,2427.58052
10.1022766,2111,-302.231452,2413.23007,2413.23145
10.1227119,2114,-284.930467,2398.92908,2398.93047
10.1431472,2173,-211.677757,2384.67636,2384.67776
10.1635825,2111,-259.473514,2370.47211,2370.47351
10.1840179,2185,-171.317925,2356.31651,2356.31793
10.2044532,2135,-207.211172,2342.20975,2342.21117
10.2248885,2143,-185.153433,2328.152,2328.15343
10.2453238,2044,-270.144882,2314.14344,2314.14488
10.2657591,2106,-194.185689,2300.18424,2300.18569
10.2861944,2031,-255.27602,2286.27456,2286.27602
10.3066298,2104,-168.416035,2272.41457,2272.41604
10.3270651,2072,-186.605894,2258.60442,2258.60589
10.3475004,2058,-186.845748,2244.84426,2244.84575
10.3679357,2112,-119.135748,2231.13425,2231.13575
10.388371,2073,-144.476039,2217.47453,2217.47604
10.4088063,2076,-127.866763,2203.86525,2203.86676
10.4292417,1998,-192.308057,2190.30653,2190.30806
10.449677,2065,-111.800058,2176.79852,2176.80006
10.4701123,2065,-98.3428982,2163.34134,2163.3429
10.4905476,2028,-121.93671,2149.93512,2149.93671
10.5109829,2060,-76.5816345,2136.57999,2136.58163
10.5314182,2086,-37.277837,2123.27606,2123.27784
10.5518536,2077,-33.0254918,2110.02344,2110.02549
10.5722889,2027,-69.8246042,2096.82225,2096.8246
10.5927242,2050,-33.6750365,2083.67259,2083.67504
10.6131595,2041,-29.5770418,2070.57458,2070.57704
10.6335948,2031,-26.530783,2057.5283,2057.53078
10.6540301,2041,-3.53636127,2044.53387,2044.53636
10.6744655,2043,11.4061299,2031.59136,2031.59387
10.6949008,2008,-10.7033996,2018.70087,2018.7034
10.7153361,1944,-61.8650361,2005.86249,2005.86504
10.7357714,1999,5.921137,1993.0763,1993.07886
10.7562067,1997,16.6550401,1980.34238,1980.34496
10.776642,2036,68.3365967,1967.6608,1967.6634
10.7970774,2005,49.9657337,1955.03165,1955.03427
10.8175127,1897,-45.4576187,1942.45498,1942.45762
10.837948,1929,-0.933526961,1929.93087,1929.93353
10.8583833,1914,-3.4620545,1917.45938,1917.46205
10.8788186,1990,84.9567386,1905.04057,1905.04326
10.8992539,1970,77.3227954,1892.6745,1892.6772
10.9196893,1924,43.6360621,1880.36121,1880.36394
10.9401246,1881,12.8964879,1868.10077,1868.10351
10.9605599,1905,49.1040254,1855.89321,1855.89597
10.9809952,1945,101.25863,1843.73859,1843.74137
11.0014305,1943,111.36026,1831.63694,1831.63974
11.0218658,1862,42.4088768,1819.5883,1819.59112
11.0423012,1978,170.404445,1807.59271,1807.59555
11.0627365,1930,134.346932,1795.6502,1795.65307
11.0831718,1913,129.236308,1783.76081,1783.76369
11.1036071,1849,77.0725467,1771.92455,1771.92745
11.1240424,1768,7.85562339,1760.14145,1760.14438
11.1444777,1836,87.5855171,1748.41153,1748.41448
11.1649131,1889,152.26221,1736.73482,1736.73779
11.1853484,1801,75.8856853,1725.11132,1725.11431
11.2057837,1793,79.4559314,1713.54106,1713.54407
11.226219,1818,115.972938,1702.02403,1702.02706
11.2466543,1814,123.436697,1690.56025,1690.5633
11.2670896,1807,127.847204,1679.14972,1679.1528
11.287525,1813,145.204457,1667.79244,1667.79554
11.3079603,1824,167.508457,1656.48842,1656.49154
11.3283956,1745,99.7592061,1645.23764,1645.24079
11.3488309,1792,157.95671,1634.04012,1634.04329
11.3692662,1848,225.100978,1622.89582,1622.89902
11.3897015,1715,103.19202,1611.80476,1611.80798
