'y-axis saved as y
'x,PKT-3-105-1_BMY2O3_2MnO2_FlowO2_650_24.raw,Diff,Bkg,Ycalc
10.0001,2459,-192.975627,2651.97563,2651.97563
10.0205353,2452,-190.731725,2642.73172,2642.73172
10.0409706,2407,-226.458312,2633.45831,2633.45831
10.061406,2364,-260.156301,2624.1563,2624.1563
10.0818413,2462,-152.826592,2614.82659,2614.82659
10.1022766,2414,-191.470077,2605.47008,2605.47008
10.1227119,2367,-229.087641,2596.08764,2596.08764
10.1431472,2407,-179.680156,2586.68016,2586.68016
10.1635825,2467,-110.248487,2577.24849,2577.24849
10.1840179,2384,-183.79349,2567.79349,2567.79349
10.2044532,2403,-155.316013,2558.31601,2558.31601
10.2248885,2423,-125.816892,2548.81689,2548.81689
10.2453238,2277,-262.296957,2539.29696,2539.29696
10.2657591,2301,-228.757028,2529.75703,2529.75703
10.2861944,2297,-223.197917,2520.19792,2520.19792
10.3066298,2354,-156.620427,2510.62043,2510.62043
10.3270651,2325,-176.025351,2501.02535,2501.02535
10.3475004,2267,-224.413475,2491.41348,2491.41348
10.3679357,2245,-236.785578,2481.78558,2481.78558
10.388371,2323,-149.142426,2472.14243,2472.14243
10.4088063,2367,-95.4847821,2462.48478,2462.48478
10.4292417,2377,-75.8133969,2452.8134,2452.8134
10.449677,2377,-66.1290146,2443.12901,2443.12901
10.4701123,2317,-116.432371,2433.43237,2433.43237
10.4905476,2252,-171.724193,2423.72419,2423.72419
10.5109829,2419,4.99479837,2414.0052,2414.0052
10.5314182,2330,-74.2761069,2404.27611,2404.27611
10.5518536,2282,-112.537613,2394.53761,2394.53761
10.5722889,2376,-8.79041473,2384.79041,2384.79041
10.5927242,2371,-4.03520066,2375.0352,2375.0352
10.6131595,2338,-27.2726505,2365.27265,2365.27265
10.6335948,2230,-125.503436,2355.50344,2355.50344
10.6540301,2199,-146.728223,2345.72822,2345.72822
10.6744655,2357,21.0523332,2335.94767,2335.94767
10.6949008,2190,-136.162418,2326.16242,2326.16242
10.7153361,2253,-63.373117,2316.37312,2316.37312
10.7357714,2321,14.4196006,2306.5804,2306.5804
10.7562067,2281,-15.7848918,2296.78489,2296.78489
10.776642,2274,-12.9872137,2286.98721,2286.98721
10.7970774,2288,10.8120226,2277.18798,2277.18798
10.8175127,2261,-6.38778798,2267.38779,2267.38779
10.837948,2276,18.4127568,2257.58724,2257.58724
10.8583833,2288,40.2130661,2247.78693,2247.78693
10.8788186,2221,-16.9874435,2237.98744,2237.98744
10.8992539,2225,-3.18934876,2228.18935,2228.18935
10.9196893,2272,53.6067808,2218.39322,2218.39322
10.9401246,2247,38.4003826,2208.59962,2208.59962
10.9605599,2179,-19.8090992,2198.8091,2198.8091
10.9809952,2245,55.9777864,2189.02221,2189.02221
11.0014305,2182,2.76049727,2179.2395,2179.2395
11.0218658,2221,51.538498,2169.4615,2169.4615
11.0423012,2138,-21.6887401,2159.68874,2159.68874
11.0627365,2188,38.0782608,2149.92174,2149.92174
11.0831718,2245,104.838985,2140.16101,2140.16101
11.1036071,2253,122.592924,2130.40708,2130.40708
11.1240424,2205,84.3395745,2120.66043,2120.66043
11.1444777,2213,102.078441,2110.92156,2110.92156
11.1649131,2205,103.809033,2101.19097,2101.19097
11.1853484,2222,130.530869,2091.46913,2091.46913
11.2057837,2146,64.2434696,2081.75653,2081.75653
11.226219,2207,134.946365,2072.05363,2072.05363
11.2466543,2110,47.6390909,2062.36091,2062.36091
11.2670896,2114,61.3211882,2052.67881,2052.67881
11.287525,2143,99.9922047,2043.0078,2043.0078
11.3079603,2141,107.651694,2033.34831,2033.34831
11.3283956,2142,118.299216,2023.70078,2023.70078
11.3488309,2153,138.934335,2014.06566,2014.06566
11.3692662,2150,145.556624,2004.44338,2004.44338
11.3897015,2196,201.16566,1994.83434,1994.83434
11.4101369,2134,148.761026,1985.23897,1985.23897
11.4305722,2144,168.342311,1975.65769,1975.65769
11.4510075,2089,122.90911,1966.09089,1966.09089
11.4714428,2039,82.4610229,1956.53898,1956.53898
11.4918781,2105,157.997656,1947.00234,1947.00234
11.5123134,2144,206.51862,1937.48138,1937.48138
11.5327488,2177,249.023533,1927.97647,1927.97647
11.5531841,2171,252.512018,1918.48798,1918.48798
11.5736194,2051,141.983702,1909.0163,1909.0163
11.5940547,2110,210.43822,1899.56178,1899.56178
11.61449,1993,102.875209,1890.12479,1890.12479
11.6349253,2058,177.294315,1880.70569,1880.70569
11.6553607,2036,164.695186,1871.30481,1871.30481
11.675796,1968,106.077478,1861.92252,1861.92252
11.6962313,2021,168.44085,1852.55915,1852.55915
11.7166666,1940,96.7849687,1843.21503,1843.21503
11.7371019,2007,173.109503,1833.8905,1833.8905
11.7575372,2026,201.414128,1824.58587,1824.58587
11.7779726,2002,186.698525,1815.30147,1815.30147
11.7984079,2054,247.96238,1806.03762,1806.03762
11.8188432,1999,202.205381,1796.79462,1796.79462
11.8392785,2005,217.427226,1787.57277,1787.57277
11.8597138,1935,156.627613,1778.37239,1778.37239
11.8801491,2040,270.806248,1769.19375,1769.19375
11.9005845,1959,198.96284,1760.03716,1760.03716
11.9210198,1907,156.097104,1750.9029,1750.9029
11.9414551,1876,134.20876,1741.79124,1741.79124
11.9618904,2008,275.297531,1732.70247,1732.70247
11.9823257,1796,72.3631453,1723.63685,1723.63685
12.002761,1948,233.405337,1714.59466,1714.59466
12.0231964,1838,132.423843,1705.57616,1705.57616
12.0436317,1903,206.418405,1696.58159,1696.58159
12.064067,1886,198.388771,1687.61123,1687.61123
12.0845023,1842,163.334692,1678.66531,1678.66531
12.1049376,1762,92.2559227,1669.74408,1669.74408
12.1253729,1822,161.152224,1660.84778,1660.84778
12.1458083,1880,228.023359,1651.97664,1651.97664
12.1662436,1797,153.869097,1643.1309,1643.1309
12.1866789,1768,133.689211,1634.31079,1634.31079
12.2071142,1815,189.483477,1625.51652,1625.51652
12.2275495,1820,203.251677,1616.74832,1616.74832
12.2479848,1739,130.993597,1608.0064,1608.0064
12.2684202,1688,88.7090254,1599.29097,1599.29097
12.2888555,1740,149.397756,1590.60224,1590.60224
12.3092908,1741,159.059587,1581.94041,1581.94041
12.3297261,1676,102.694319,1573.30568,1573.30568
12.3501614,1662,97.3017575,1564.69824,1564.69824
12.3705967,1739,182.881713,1556.11829,1556.11829
12.3910321,1715,167.433998,1547.566,1547.566
12.4114674,1679,139.958431,1539.04157,1539.04157
12.4319027,1666,135.454832,1530.54517,1530.54517
12.452338,1658,135.923026,1522.07697,1522.07697
12.4727733,1659,145.362841,1513.63716,1513.63716
12.4932086,1659,153.774108,1505.22589,1505.22589
12.513644,1573,76.1566539,1496.84333,1496.84335
12.5340793,1634,145.510293,1488.48964,1488.48971
12.5545146,1615,134.834815,1480.16497,1480.16519
12.5749499,1678,206.129946,1471.86949,1471.87005
12.5953852,1564,100.395278,1463.60334,1463.60472
12.6158206,1573,117.630038,1455.36666,1455.36996
12.6362559,1604,156.832375,1447.15959,1447.16762
12.6566912,1554,114.999349,1438.98229,1439.00065
12.6771265,1511,80.1333267,1430.83488,1430.86667
12.6975618,1548,125.244429,1422.71749,1422.75557
12.7179971,1518,103.329897,1414.63025,1414.6701
12.7384325,1540,133.385529,1406.57329,1406.61447
12.7588678,1490,91.4098219,1398.54674,1398.59018
12.7793031,1573,182.401344,1390.5507,1390.59866
12.7997384,1462,79.3566844,1382.5853,1382.64332
12.8201737,1404,29.2687232,1374.65064,1374.73128
12.840609,1425,58.1341059,1366.74684,1366.86589
12.8610444,1437,77.9720323,1358.87401,1359.02797
12.8814797,1414,62.8033566,1351.03224,1351.19664
12.901915,1404,60.6109726,1343.22163,1343.38903
12.9223503,1370,34.3877538,1335.44229,1335.61225
12.9427856,1388,60.1331233,1327.69431,1327.86688
12.9632209,1394,73.8469851,1319.97777,1320.15301
12.9836563,1403,90.5292494,1312.29277,1312.47075
13.0040916,1347,42.1798294,1304.63938,1304.82017
13.0245269,1343,45.7986412,1297.0177,1297.20136
13.0449622,1329,39.3856036,1289.4278,1289.6144
13.0653975,1304,21.9406382,1281.86975,1282.05936
13.0858328,1316,41.4636691,1274.34363,1274.53633
13.1062682,1264,-3.0453778,1266.84952,1267.04538
13.1267035,1366,106.413422,1259.38747,1259.58658
13.1471388,1284,31.8399842,1251.95756,1252.16002
13.1675741,1342,97.2342084,1244.55984,1244.76579
13.1880094,1209,-28.4040479,1237.19438,1237.40405
13.2084447,1290,59.9249743,1229.86123,1230.07503
13.2288801,1287,64.2207566,1222.56044,1222.77924
13.2493154,1195,-20.5179538,1215.29208,1215.51795
13.2697507,1247,38.7072516,1208.05618,1208.29275
13.290186,1182,-19.1010396,1200.85279,1201.10104
13.3106213,1209,15.0634854,1193.68196,1193.93651
13.3310566,1120,-66.8029382,1186.54374,1186.80294
13.351492,1182,2.2979555,1179.43815,1179.70204
13.3719273,1136,-36.6340442,1172.36523,1172.63404
13.3923626,1158,-7.59909678,1165.32503,1165.5991
13.4127979,1131,-27.597501,1158.31756,1158.5975
