'y-axis saved as y
'x,PKT-3-105-3_BMY2O3_2BMMnO2_FlowO2_650_24.raw,Diff,Bkg,Ycalc
10.0001,2496,-277.711911,2773.71191,2773.71191
10.0205353,2492,-271.202574,2763.20257,2763.20257
10.0409706,2449,-303.676173,2752.67617,2752.67617
10.061406,2502,-240.133539,2742.13354,2742.13354
10.0818413,2543,-188.575493,2731.57549,2731.57549
10.1022766,2493,-228.002846,2721.00285,2721.00285
10.1227119,2544,-166.416401,2710.4164,2710.4164
10.1431472,2495,-204.816953,2699.81695,2699.81695
10.1635825,2453,-236.205286,2689.20529,2689.20529
10.1840179,2463,-215.582178,2678.58218,2678.58218
10.2044532,2487,-180.948396,2667.9484,2667.9484
10.2248885,2428,-229.3047,2657.3047,2657.3047
10.2453238,2452,-194.65184,2646.65184,2646.65184
10.2657591,2508,-127.990559,2635.99056,2635.99056
10.2861944,2452,-173.32159,2625.32159,2625.32159
10.3066298,2483,-131.645659,2614.64566,2614.64566
10.3270651,2471,-132.963484,2603.96348,2603.96348
10.3475004,2473,-120.275772,2593.27577,2593.27577
10.3679357,2475,-107.583226,2582.58323,2582.58323
10.388371,2440,-131.886536,2571.88654,2571.88654
10.4088063,2354,-207.186389,2561.18639,2561.18639
10.4292417,2401,-149.48346,2550.48346,2550.48346
10.449677,2309,-230.778418,2539.77842,2539.77842
10.4701123,2371,-158.071924,2529.07192,2529.07192
10.4905476,2407,-111.36463,2518.36463,2518.36463
10.5109829,2462,-45.6571824,2507.65718,2507.65718
10.5314182,2442,-54.9502174,2496.95022,2496.95022
10.5518536,2361,-125.244365,2486.24437,2486.24437
10.5722889,2428,-47.5402475,2475.54025,2475.54025
10.5927242,2430,-34.8384791,2464.83848,2464.83848
10.6131595,2401,-53.139667,2454.13967,2454.13967
10.6335948,2465,21.5555893,2443.44441,2443.44441
10.6540301,2313,-119.753302,2432.7533,2432.7533
10.6744655,2419,-3.0669269,2422.06693,2422.06693
10.6949008,2342,-69.3858619,2411.38586,2411.38586
10.7153361,2361,-39.7106777,2400.71068,2400.71068
10.7357714,2341,-49.0419375,2390.04194,2390.04194
10.7562067,2387,7.61980254,2379.3802,2379.3802
10.776642,2365,-3.72600647,2368.72601,2368.72601
10.7970774,2316,-42.0799066,2358.07991,2358.07991
10.8175127,2418,70.5575671,2347.44243,2347.44243
10.837948,2353,16.1858864,2336.81411,2336.81411
10.8583833,2364,37.8045301,2326.19547,2326.19547
10.8788186,2443,127.412984,2315.58702,2315.58702
10.8992539,2332,27.0107391,2304.98926,2304.98926
10.9196893,2313,18.5972956,2294.4027,2294.4027
10.9401246,2305,21.1721587,2283.82784,2283.82784
10.9605599,2451,177.73484,2273.26516,2273.26516
10.9809952,2394,131.284859,2262.71514,2262.71514
11.0014305,2284,31.8217411,2252.17826,2252.17826
11.0218658,2278,36.3450169,2241.65498,2241.65498
11.0423012,2423,191.854225,2231.14578,2231.14578
11.0627365,2199,-21.6510907,2220.65109,2220.65109
11.0831718,2166,-44.1713792,2210.17138,2210.17138
11.1036071,2281,81.2929164,2199.70708,2199.70708
11.1240424,2214,24.741359,2189.25864,2189.25864
11.1444777,2313,134.173518,2178.82648,2178.82648
11.1649131,2364,195.588968,2168.41103,2168.41103
11.1853484,2250,91.9872916,2158.01271,2158.01271
11.2057837,2249,101.368075,2147.63192,2147.63192
11.226219,2236,98.7309121,2137.26909,2137.26909
11.2466543,2227,100.075402,2126.9246,2126.9246
11.2670896,2261,144.401149,2116.59885,2116.59885
11.287525,2094,-12.2922346,2106.29223,2106.29223
11.3079603,2205,108.994867,2096.00513,2096.00513
11.3283956,2245,159.262075,2085.73792,2085.73792
11.3488309,2253,177.50902,2075.49098,2075.49098
11.3692662,2068,2.73533335,2065.26467,2065.26467
11.3897015,2148,92.9406552,2055.05934,2055.05934
11.4101369,2161,116.12463,2044.87537,2044.87537
11.4305722,2167,132.286909,2034.71309,2034.71309
11.4510075,2213,188.427146,2024.57285,2024.57285
11.4714428,2125,110.545003,2014.455,2014.455
11.4918781,2166,161.640147,2004.35985,2004.35985
