'y-axis saved as y
'x,PKT-3-111-4_NaMn2O4_YOCl_Y2(CO3)3_650_24_O2.raw,Diff,Ycalc,Bkg
10.0001,2268,-226.93915,2494.93915,2494.60249
10.0205353,2167,-317.601906,2484.60191,2484.27398
10.0409706,2262,-212.233434,2474.23343,2473.91394
10.061406,2267,-196.834672,2463.83467,2463.5235
10.0818413,2296,-157.406954,2453.40695,2453.10376
10.1022766,2125,-317.951457,2442.95146,2442.65581
10.1227119,2208,-224.469241,2432.46924,2432.18073
10.1431472,2212,-209.961343,2421.96134,2421.67961
10.1635825,2272,-139.428778,2411.42878,2411.1535
10.1840179,2152,-248.872544,2400.87254,2400.60345
10.2044532,2209,-181.293606,2390.29361,2390.03049
10.2248885,2188,-191.69289,2379.69289,2379.43565
10.2453238,2145,-224.07126,2369.07126,2368.81994
10.2657591,2189,-169.429479,2358.42948,2358.18436
10.2861944,2146,-201.768113,2347.76811,2347.52992
10.3066298,2205,-132.08735,2337.08735,2336.85757
10.3270651,2143,-183.386864,2326.38686,2326.1683
10.3475004,2214,-101.666315,2315.66631,2315.46307
10.3679357,2204,-100.927866,2304.92787,2304.74281
10.388371,2199,-95.1791239,2294.17912,2294.00846
10.4088063,2188,-95.4262721,2283.42627,2283.26095
10.4292417,2134,-138.6657,2272.6657,2272.50119
10.449677,2091,-170.895383,2261.89538,2261.73009
10.4701123,2166,-85.1162639,2251.11626,2250.94854
10.4905476,2178,-62.3308735,2240.33087,2240.15742
10.5109829,2053,-176.542033,2229.54203,2229.3576
10.5314182,2025,-193.747136,2218.74714,2218.54994
10.5518536,2171,-36.9381184,2207.93812,2207.7353
10.5722889,2163,-34.1197213,2197.11972,2196.91452
10.5927242,2155,-31.2959012,2186.2959,2186.08842
10.6131595,2090,-85.4679973,2175.468,2175.25784
10.6335948,2119,-45.6369522,2164.63695,2164.42357
10.6540301,2123,-30.8037106,2153.80371,2153.58642
10.6744655,2154,11.030981,2142.96902,2142.74719
10.6949008,2075,-57.1332523,2132.13325,2131.90665
10.7153361,2121,-0.297059068,2121.29706,2121.06558
10.7357714,2071,-39.4614737,2110.46147,2110.22474
10.7562067,2130,30.3726335,2099.62737,2099.38488
10.776642,2075,-13.7954788,2088.79548,2088.54674
10.7970774,2077,-0.966494114,2077.96649,2077.71106
10.8175127,2048,-19.1410088,2067.14101,2066.87857
10.837948,2046,-10.3194413,2056.31944,2056.04997
10.8583833,2136,90.4981485,2045.50185,2045.22598
10.8788186,2065,30.3121969,2034.6878,2034.4073
10.8992539,2103,79.1231288,2023.87687,2023.5946
10.9196893,2070,56.9288335,2013.07117,2012.78858
10.9401246,2026,23.7217025,2002.2783,2001.98989
10.9605599,2059,67.49548,1991.50452,1991.19921
10.9809952,1966,-14.7463478,1980.74635,1980.41718
11.0014305,2040,69.9981819,1970.00182,1969.64446
11.0218658,1989,29.7283153,1959.27168,1958.88167
11.0423012,2001,52.4424125,1948.55759,1948.12944
11.0627365,1986,48.1384744,1937.86153,1937.38839
11.0831718,2019,91.8140085,1927.18599,1926.65913
11.1036071,1922,5.46577892,1916.53422,1915.94227
11.1240424,1932,26.0893102,1905.91069,1905.23839
11.1444777,1983,87.6780045,1895.322,1894.54808
11.1649131,2029,144.223353,1884.77665,1883.87193
11.1853484,1910,35.719933,1874.28007,1873.21049
11.2057837,1955,91.1647747,1863.83523,1862.56433
11.226219,1939,85.5385475,1853.46145,1851.934
11.2466543,2039,195.817921,1843.18208,1841.32005
11.2670896,1947,113.976956,1833.02304,1830.72302
11.287525,1825,1.98574475,1823.01426,1820.14343
11.3079603,1830,16.8143766,1813.18562,1809.5818
11.3283956,1943,139.445444,1803.55456,1799.03866
11.3488309,1869,74.9010375,1794.09896,1788.51451
11.3692662,1847,62.2847459,1784.71525,1778.00984
11.3897015,1936,160.813606,1775.18639,1767.52515
11.4101369,1868,102.778224,1765.22178,1757.06093
11.4305722,1853,98.3922762,1754.60772,1746.61764
11.4510075,1967,223.627845,1743.37216,1736.19577
11.4714428,1831,99.2142571,1731.78574,1725.79577
11.4918781,1887,166.817344,1720.18266,1715.4181
11.5123134,1808,99.2201097,1708.77989,1705.0632
11.5327488,1846,148.357758,1697.64224,1694.73152
11.5531841,1791,104.256094,1686.74391,1684.4235
11.5736194,1830,153.966977,1676.03302,1674.13955
11.5940547,1820,154.537146,1665.46285,1663.88011
11.61449,1839,184.000948,1654.99905,1653.64558
11.6349253,1765,120.381903,1644.6181,1643.43637
11.6553607,1851,216.695806,1634.30419,1633.25289
11.675796,1782,157.953279,1624.04672,1623.09551
11.6962313,1790,176.161529,1613.83847,1612.96465
11.7166666,1751,147.325494,1603.67451,1602.86066
