Scan Number,Temperature,Reaction Time,,Scale Factor,Mass,Volume,Lp,OccY1,OccY2,OccO,Y$_2$O$_3$,,AFFY,AFFO,,fY1,fY2,fO,,f*Y1,f*Y2,f*O
1,24.9,0,,,,,,,,,,,38.79339633,8.00213,,,,,,,,
2,24.9,0.333333333,,,,,,,,,,,MultY,MultO,,,,,,,,
3,25.2,0.666666667,,,,,,,,,,,8,48,,0,0,100.4612,,,,
4,27.3,1,,,,,,,,,,,24,,,,,,,,,
5,30.7,1.333333333,,,,,,,,,,,,,,,,,,,,
6,34.4,1.666666667,,,,,,,,,,,,,,,,,,,,
7,39,2,,,,,,,,,,,,,,,,,,,,
8,43.2,2.333333333,,,,,,,,,,,,,Y2O3,310.3471707,931.041512,384.10224,,0.190925195,0.572775584,0.236299222
9,46.2,2.666666667,,,,,,,,,,,,,,,,,,,,
10,49.7,3,,,,,,,,,,,,,,,,,,,,
11,53.4,3.333333333,,,,,,,,,,,,,,,,,,,,
12,56.3,3.666666667,,,,,,,,,,,,,,,,,,,,
13,60.4,4,,,,,,,,,,,,,,,,,,,,
14,63.4,4.333333333,,,,,,,,,,,,,,,,,,,,
15,67,4.666666667,,,,,,,,,,,,,,,,,,,,
16,70.4,5,,,,,,,,,,,,,,,,,,,,
17,73.8,5.333333333,,,,,,,,,,,,,,,,,,,,
18,76.9,5.666666667,,,,,,,,,,,,,,,,,,,,
19,80.7,6,,,,,,,,,,,,,,,,,,,,
20,83.7,6.333333333,,,,,,,,,,,,,,,,,,,,
21,87.3,6.666666667,,,,,,,,,,,,,,,,,,,,
22,90.2,7,,,,,,,,,,,,,,,,,,,,
23,93.3,7.333333333,,,,,,,,,,,,,,,,,,,,
24,97,7.666666667,,,,,,,,,,,,,,,,,,,,
25,101,8,,,,,,,,,,,,,,,,,,,,
26,104,8.333333333,,,,,,,,,,,,,,,,,,,,
27,107.2,8.666666667,,,,,,,,,,,,,,,,,,,,
28,110.4,9,,,,,,,,,,,,,,,,,,,,
29,114.3,9.333333333,,,,,,,,,,,,,,,,,,,,
30,117.2,9.666666667,,,,,,,,,,,,,,,,,,,,
31,121,10,,,,,,,,,,,,,,,,,,,,
32,124,10.33333333,,,,,,,,,,,,,,,,,,,,
33,126.8,10.66666667,,,,,,,,,,,,,,,,,,,,
34,131,11,,,,,,,,,,,,,,,,,,,,
35,134,11.33333333,,,,,,,,,,,,,,,,,,,,
36,137.6,11.66666667,,,,,,,,,,,,,,,,,,,,
