'y-axis saved as y
'x,PKT-3-101-1_2MnO2_Y2O3_FlowO2_650_24.raw,Diff,Ycalc,Bkg
10.0001,2462,48.1908112,2413.80919,2413.80919
10.0205353,2400,-3.07521978,2403.07522,2403.07522
10.0409706,2370,-22.3782543,2392.37825,2392.37825
10.061406,2509,127.281796,2381.7182,2381.7182
10.0818413,2398,26.9050186,2371.09498,2371.09498
10.1022766,2330,-30.5084981,2360.5085,2360.5085
10.1227119,2467,117.041334,2349.95867,2349.95867
10.1431472,2419,79.5546012,2339.4454,2339.4454
10.1635825,2487,158.031392,2328.96861,2328.96861
10.1840179,2377,58.4717943,2318.52821,2318.52821
10.2044532,2516,207.875895,2308.12411,2308.12411
10.2248885,2356,58.2437799,2297.75622,2297.75622
10.2453238,2429,141.575538,2287.42446,2287.42446
10.2657591,2446,168.871255,2277.12875,2277.12875
10.2861944,2431,164.131017,2266.86898,2266.86898
10.3066298,2421,164.354912,2256.64509,2256.64509
10.3270651,2433,186.543027,2246.45697,2246.45697
10.3475004,2463,226.695446,2236.30455,2236.30455
10.3679357,2338,111.812257,2226.18774,2226.18774
10.388371,2400,183.893546,2216.10645,2216.10645
10.4088063,2428,221.939398,2206.0606,2206.0606
10.4292417,2473,276.9499,2196.0501,2196.0501
10.449677,2355,168.925137,2186.07486,2186.07486
10.4701123,2359,182.865194,2176.13481,2176.13481
10.4905476,2444,277.770158,2166.22984,2166.22984
10.5109829,2425,268.640113,2156.35989,2156.35989
10.5314182,2322,175.475145,2146.52486,2146.52486
10.5518536,2380,243.275338,2136.72466,2136.72466
10.5722889,2330,203.040778,2126.95922,2126.95922
10.5927242,2370,252.77155,2117.22845,2117.22845
10.6131595,2352,244.467738,2107.53226,2107.53226
10.6335948,2433,335.129426,2097.87057,2097.87057
10.6540301,2362,273.756699,2088.2433,2088.2433
10.6744655,2286,207.349642,2078.65036,2078.65036
10.6949008,2355,285.908339,2069.09166,2069.09166
