'y-axis saved as y
'x,PKT-3-101-2_2MnO2_Y2O3_6NaCl_FlowO2_650_24.raw,Diff,Ycalc,Bkg
10.0001,2215,-376.426111,2591.42611,2591.39888
10.0205353,2218,-359.642492,2577.64249,2577.61506
10.0409706,2203,-360.9012,2563.9012,2563.87357
10.061406,2232,-318.202428,2550.20243,2550.17459
10.0818413,2296,-240.546364,2536.54636,2536.51832
10.1022766,2232,-290.933196,2522.9332,2522.90494
10.1227119,2215,-294.363103,2509.3631,2509.33463
10.1431472,2207,-288.836263,2495.83626,2495.80758
10.1635825,2148,-334.35285,2482.35285,2482.32395
10.1840179,2195,-273.913035,2468.91304,2468.88391
10.2044532,2282,-173.516984,2455.51698,2455.48764
10.2248885,2261,-181.164859,2442.16486,2442.13529
10.2453238,2211,-217.85682,2428.85682,2428.82702
10.2657591,2173,-242.593022,2415.59302,2415.563
10.2861944,2273,-129.373617,2402.37362,2402.34336
10.3066298,2224,-165.198754,2389.19875,2389.16826
10.3270651,2165,-211.068579,2376.06858,2376.03784
10.3475004,2212,-150.983238,2362.98324,2362.95225
10.3679357,2218,-131.942877,2349.94288,2349.91162
10.388371,2187,-149.947652,2336.94765,2336.91609
10.4088063,2168,-155.997756,2323.99776,2323.96578
10.4292417,2237,-74.0934228,2311.09342,2311.06083
10.449677,2142,-156.23466,2298.23466,2298.20136
10.4701123,2237,-48.4211818,2285.42118,2285.38749
10.4905476,2225,-47.6533082,2272.65331,2272.61933
10.5109829,2218,-41.9312587,2259.93126,2259.89701
10.5314182,2156,-91.2551549,2247.25515,2247.22063
10.5518536,2140,-94.6251047,2234.6251,2234.5903
10.5722889,2157,-65.0412129,2222.04121,2222.00612
10.5927242,2099,-110.503581,2209.50358,2209.4682
10.6131595,2208,10.9876932,2197.01231,2196.97664
10.6335948,2148,-36.5674862,2184.56749,2184.53152
10.6540301,2061,-111.169211,2172.16921,2172.13295
10.6744655,2185,25.1824298,2159.81757,2159.78101
10.6949008,2091,-56.5126499,2147.51265,2147.47578
10.7153361,2112,-23.2545332,2135.25453,2135.21736
10.7357714,2088,-35.0433001,2123.0433,2123.00581
10.7562067,2063,-47.8790276,2110.87903,2110.84122
10.776642,2056,-42.76179,2098.76179,2098.72366
10.7970774,2120,33.3083414,2086.69166,2086.65321
10.8175127,2115,40.3312984,2074.6687,2074.62992
10.837948,2046,-16.6929846,2062.69298,2062.65387
10.8583833,2095,44.2354296,2050.76457,2050.72512
10.8788186,2110,71.1164811,2038.88352,2038.84372
10.8992539,2076,48.9501128,2027.04989,2027.00975
10.9196893,2059,43.7362701,2015.26373,2015.22324
10.9401246,2148,144.4749,2003.5251,2003.48425
10.9605599,2038,46.1659471,1991.83405,1991.79283
10.9809952,2033,52.80935,1980.19065,1980.14903
11.0014305,2117,148.405029,1968.59497,1968.55289
11.0218658,2010,52.9528696,1957.04713,1957.00445
11.0423012,2005,59.4526677,1945.54733,1945.50375
11.0627365,1999,64.9039845,1934.09602,1934.05082
11.0831718,2019,96.3056794,1922.69432,1922.6457
11.1036071,2016,104.655999,1911.344,1911.28842
11.1240424,2004,103.957048,1900.04295,1899.97901
11.1444777,1929,40.2155642,1888.78444,1888.71749
11.1649131,2061,183.428312,1877.57169,1877.50389
11.1853484,1988,121.593343,1866.40666,1866.33822
11.2057837,1994,138.710419,1855.28958,1855.22051
11.226219,1973,128.779515,1844.22049,1844.15077
11.2466543,1936,102.800617,1833.19938,1833.12901
11.2670896,1991,168.773714,1822.22629,1822.15525
11.287525,1928,116.698797,1811.3012,1811.22949
11.3079603,1892,91.5758586,1800.42414,1800.35174
11.3283956,1882,92.4048833,1789.59512,1789.52201
11.3488309,1911,132.18583,1778.81417,1778.7403
11.3692662,1934,165.918592,1768.08141,1768.0066
11.3897015,2022,264.602929,1757.39707,1757.32092
11.4101369,1865,118.238331,1746.76167,1746.68325
11.4305722,1878,141.82368,1736.17632,1736.09358
11.4510075,1835,109.356254,1725.64375,1725.55191
11.4714428,1898,182.828648,1715.17135,1715.05822
11.4918781,1809,104.228715,1704.77129,1704.6125
11.5123134,1899,204.567369,1694.43263,1694.21474
11.5327488,1839,154.889525,1684.11047,1683.86491
11.5531841,1809,135.184655,1673.81535,1673.56301
11.5736194,1873,209.43584,1663.56416,1663.309
11.5940547,1847,193.639332,1653.36067,1653.10286
11.61449,1815,171.794935,1643.20506,1642.94458
11.6349253,1915,281.902675,1633.09733,1632.83411
11.6553607,1827,203.96258,1623.03742,1622.77144
11.675796,1835,221.974679,1613.02532,1612.75653
11.6962313,1703,99.9390061,1603.06099,1602.78935
11.7166666,1865,271.855594,1593.14441,1592.86986
11.7371019,1797,213.724479,1583.27552,1582.99803
11.7575372,1762,188.545699,1573.4543,1573.17381
11.7779726,1760,196.319292,1563.68071,1563.39717
11.7984079,1728,174.045301,1553.9547,1553.66807
11.8188432,1762,217.723768,1544.27623,1543.98645
11.8392785,1718,183.354738,1534.64526,1534.35229
11.8597138,1686,160.938258,1525.06174,1524.76551
11.8801491,1713,197.474374,1515.52563,1515.22609
11.9005845,1735,228.963138,1506.03686,1505.73397
11.9210198,1652,155.4046,1496.5954,1496.28909
11.9414551,1697,209.798814,1487.20119,1486.8914
11.9618904,1584,106.145834,1477.85417,1477.54084
11.9823257,1669,200.445717,1468.55428,1468.23736
12.002761,1662,202.698519,1459.30148,1458.9809
12.0231964,1629,178.904301,1450.0957,1449.77139
12.0436317,1620,179.06312,1440.93688,1440.60878
12.064067,1618,186.175037,1431.82496,1431.493
12.0845023,1571,148.240105,1422.75989,1422.42398
12.1049376,1601,187.25837,1413.74163,1413.40166
12.1253729,1628,223.229834,1404.77017,1404.42597
12.1458083,1610,214.154462,1395.84554,1395.49684
12.1662436,1564,177.032437,1386.96756,1386.6142
12.1866789,1621,242.864238,1378.13576,1377.77797
12.2071142,1537,167.649735,1369.35026,1368.98808
12.2275495,1564,203.388898,1360.6111,1360.24446
12.2479848,1522,170.081791,1351.91821,1351.54702
12.2684202,1526,182.72849,1343.27151,1342.89569
12.2888555,1494,159.329074,1334.67093,1334.29039
12.3092908,1533,206.883621,1326.11638,1325.73104
12.3297261,1520,202.392212,1317.60779,1317.21755
12.3501614,1468,158.854928,1309.14507,1308.74984
12.3705967,1492,191.271852,1300.72815,1300.32783
12.3910321,1397,104.643069,1292.35693,1291.95143
12.4114674,1423,138.968664,1284.03134,1283.62055
12.4319027,1453,177.248721,1275.75128,1275.33509
12.452338,1438,170.483319,1267.51668,1267.09498
12.4727733,1449,189.672507,1259.32749,1258.90013
12.4932086,1355,103.816268,1251.18373,1250.75042
12.513644,1408,164.914452,1243.08555,1242.64578
12.5340793,1388,152.966637,1235.03336,1234.58611
12.5545146,1400,172.971792,1227.02821,1226.57131
12.5749499,1363,143.927286,1219.07271,1218.60129
12.5953852,1298,86.8258161,1211.17418,1210.67594
12.6158205,1293,89.6553221,1203.34468,1202.79517
12.6362559,1232,36.4266391,1195.57336,1194.95887
12.6566912,1315,127.184496,1187.8155,1187.16695
12.6771265,1256,75.9186634,1180.08134,1179.41929
12.6975618,1247,74.6124369,1172.38756,1171.71581
12.7179971,1255,90.262163,1164.73784,1164.05638
12.7384325,1317,159.867724,1157.13228,1156.44091
12.7588678,1246,96.4292184,1149.57078,1148.86929
12.7793031,1199,56.9467486,1142.05325,1141.34141
12.7997384,1174,39.4204167,1134.57958,1133.85716
12.8201737,1144,16.8503257,1127.14967,1126.41643
12.840609,1170,50.2365796,1119.76342,1119.01911
12.8610444,1172,59.5792827,1112.42072,1111.6651
12.8814797,1248,142.87854,1105.12146,1104.35426
12.901915,1202,104.134458,1097.86554,1097.0865
12.9223503,1178,87.3471416,1090.65286,1089.8617
12.9427856,1121,37.5166988,1083.4833,1082.67973
12.9632209,1083,6.64323667,1076.35676,1075.5405
12.9836563,1064,-5.27313694,1069.27314,1068.44387
13.0040916,1126,63.7676864,1062.23231,1061.38973
13.0245269,1122,66.7658154,1055.23418,1054.37796
13.0449622,1092,43.7213593,1048.27864,1047.40844
13.0653975,1123,81.6344277,1041.36557,1040.48106
13.0858328,1040,5.5051306,1034.49487,1033.59568
13.1062682,1071,43.3335781,1027.66642,1026.75219
13.1267035,1033,12.1198807,1020.88012,1019.95046
13.1471388,998,-16.1358508,1014.13585,1013.19038
13.1675741,1023,15.5664944,1007.43351,1006.47181
13.1880094,1041,40.2270275,1000.77297,999.794636
13.2084447,1026,31.8458594,994.154141,993.158724
13.2288801,984,-3.57689844,987.576898,986.563952
13.2493154,974,-7.04113493,981.041135,980.010191
13.2697507,980,5.45326113,974.546739,973.497314
13.290186,900,-68.0935991,968.093599,967.025191
13.3106213,923,-38.6816048,961.681605,960.593695
13.3310566,968,12.6893549,955.310645,954.202695
13.351492,984,35.0193905,948.980609,947.85206
13.3719273,935,-7.69138783,942.691388,941.54166
13.3923626,907,-29.4428703,936.44287,935.271362
13.4127979,928,-2.2349475,930.234947,929.041035
13.4332332,916,-8.06751065,924.067511,922.850545
13.4536685,876,-41.9404515,917.940451,916.699759
13.4741039,867,-44.8536624,911.853662,910.588542
13.4945392,868,-37.8070367,905.807037,904.516761
13.5149745,853,-46.8004684,899.800468,898.48428
13.5354098,864,-29.8338525,893.833852,892.490964
13.5558451,871,-16.907085,887.907085,886.536675
13.5762804,870,-12.0200632,882.020063,880.621278
13.5967158,839,-37.1726855,876.172685,874.744636
13.6171511,844,-26.3648518,870.364852,868.90661
13.6375864,831,-33.5964635,864.596463,863.107062
13.6580217,752,-106.867424,858.867424,857.345854
13.678457,783,-70.1776373,853.177637,851.622847
13.6988923,782,-65.5270111,847.527011,845.937902
13.7193277,786,-55.9154542,841.915454,840.290877
13.739763,794,-42.3428778,836.342878,834.681634
13.7601983,777,-53.8091959,830.809196,829.11003
13.7806336,757,-68.3143251,825.314325,823.575926
13.8010689,760,-59.8581849,819.858185,818.079179
13.8215042,792,-22.4406981,814.440698,812.619647
13.8419396,732,-77.061791,809.061791,807.197188
13.8623749,719,-84.7213937,803.721394,801.81166
13.8828102,729,-69.4194403,798.41944,796.462919
13.9032455,750,-43.1558694,793.155869,791.150822
13.9236808,705,-82.9306243,787.930624,785.875225
13.9441161,724,-58.7436535,782.743654,780.635984
13.9645515,741,-36.5949113,777.594911,775.432955
13.9849868,699,-73.4843579,772.484358,770.265993
14.0054221,700,-67.41196,767.41196,765.134954
14.0258574,682,-80.3776919,762.377692,760.039691
14.0462927,697,-60.3815351,757.381535,754.98006
14.066728,701,-51.4234801,752.42348,749.955914
14.0871634,684,-63.5035261,747.503526,744.967108
14.1075987,633,-109.621683,742.621683,740.013494
14.128034,661,-76.7779697,737.77797,735.094928
14.1484693,637,-95.9724197,732.97242,730.211262
14.1689046,707,-21.2050775,728.205078,725.362348
14.1893399,681,-42.4760021,723.476002,720.54804
14.2097753,643,-75.7852681,718.785268,715.76819
14.2302106,692,-22.1329665,714.132967,711.022651
14.2506459,669,-40.5192072,709.519207,706.311275
14.2710812,620,-84.94412,704.94412,701.633914
14.2915165,624,-76.4078568,700.407857,696.990419
14.3119518,607,-88.9105941,695.910594,692.380642
14.3323872,633,-58.4525349,691.452535,687.804436
14.3528225,593,-94.0339118,687.033912,683.26165
14.3732578,602,-80.6549899,682.65499,678.752137
14.3936931,657,-21.3160705,678.316071,674.275748
14.4141284,585,-89.0174944,674.017494,669.832333
14.4345637,552,-117.759647,669.759647,665.421744
14.4549991,586,-79.542961,665.542961,661.04383
14.4754344,585,-76.3679262,661.367926,656.698443
14.4958697,558,-99.2350914,657.235091,652.385434
14.516305,612,-41.1450735,653.145073,648.104652
14.5367403,534,-115.098565,649.098565,643.855949
14.5571756,554,-91.096344,645.096344,639.639174
14.577611,568,-73.1392831,641.139283,635.454178
14.5980463,555,-82.2283628,637.228363,631.30081
14.6184816,572,-61.3646851,633.364685,627.178922
