'y-axis saved as y
'x,PKT-3-103-3_Y2Mn2O7_FlowO2_650_24.raw,Diff,Bkg,Ycalc
10.0001,2200,-356.214618,2556.21394,2556.21462
10.0205353,2105,-436.015944,2541.01526,2541.01594
10.0409706,2166,-359.876743,2525.87606,2525.87674
10.061406,2155,-355.797076,2510.79639,2510.79708
10.0818413,2151,-344.776999,2495.77631,2495.777
10.1022766,2274,-206.816564,2480.81587,2480.81656
10.1227119,2142,-323.915823,2465.91512,2465.91582
10.1431472,2161,-290.074823,2451.07412,2451.07482
10.1635825,2173,-263.293607,2436.2929,2436.29361
10.1840179,2179,-242.572216,2421.5715,2421.57222
10.2044532,2152,-254.91069,2406.90997,2406.91069
10.2248885,2189,-203.309062,2392.30834,2392.30906
10.2453238,2172,-205.767365,2377.76664,2377.76737
10.2657591,2055,-308.285629,2363.2849,2363.28563
10.2861944,2085,-263.863879,2348.86314,2348.86388
10.3066298,2160,-174.502139,2334.5014,2334.50214
10.3270651,2202,-118.20043,2320.19969,2320.20043
10.3475004,2122,-183.958771,2305.95802,2305.95877
10.3679357,2133,-158.777175,2291.77642,2291.77718
10.388371,2166,-111.655656,2277.6549,2277.65566
10.4088063,2080,-183.594223,2263.59346,2263.59422
10.4292417,2161,-88.5928833,2249.59211,2249.59288
10.449677,2084,-151.651641,2235.65087,2235.65164
10.4701123,2099,-122.770498,2221.76972,2221.7705
10.4905476,2164,-43.9494528,2207.94867,2207.94945
10.5109829,2166,-28.1885024,2194.18771,2194.1885
10.5314182,2073,-107.487641,2180.48685,2180.48764
10.5518536,2132,-34.8468588,2166.84606,2166.84686
10.5722889,2156,2.73385442,2153.26534,2153.26615
10.5927242,2071,-68.7454875,2139.74468,2139.74549
10.6131595,2053,-73.2848683,2126.28405,2126.28487
10.6335948,1974,-138.884269,2112.88345,2112.88427
10.6540301,2117,17.4563302,2099.54284,2099.54367
10.6744655,2118,31.7369538,2086.26221,2086.26305
10.6949008,2060,-13.0423727,2073.04153,2073.04237
10.7153361,2078,18.1183789,2059.88078,2059.88162
10.7357714,1969,-77.7807611,2046.77991,2046.78076
10.7562067,1998,-35.7397599,2033.7389,2033.73976
10.776642,2047,26.2414176,2020.75772,2020.75858
10.7970774,2005,-2.8371913,2007.83632,2007.83719
10.8175127,1983,-11.9755471,1994.97467,1994.97555
10.837948,2052,69.8263919,1982.17273,1982.17361
10.8583833,1904,-65.4313302,1969.43045,1969.43133
10.8788186,1964,7.25133249,1956.74778,1956.74867
10.8992539,2048,103.874428,1944.12467,1944.12557
10.9196893,1938,6.43800769,1931.56109,1931.56199
10.9401246,2013,93.942123,1919.05697,1919.05788
10.9605599,1945,38.3868288,1906.61225,1906.61317
10.9809952,2030,135.772182,1894.2269,1894.22782
11.0014305,1966,84.0982403,1881.90083,1881.90176
11.0218658,1934,64.3650652,1869.634,1869.63493
11.0423012,1978,120.572719,1857.42634,1857.42728
11.0627365,1998,152.721267,1845.27778,1845.27873
11.0831718,1895,61.8107741,1833.18827,1833.18923
11.1036071,1931,109.84131,1821.15773,1821.15869
11.1240424,1867,57.8129452,1809.18608,1809.18705
11.1444777,1975,177.725751,1797.27327,1797.27425
11.1649131,1923,137.579803,1785.41921,1785.4202
11.1853484,1900,126.375176,1773.62383,1773.62482
11.2057837,1903,141.111947,1761.88705,1761.88805
11.226219,1881,130.790198,1750.2088,1750.2098
11.2466543,1953,214.410008,1738.58898,1738.58999
11.2670896,1900,172.971461,1727.02752,1727.02854
11.287525,1864,148.474643,1715.52433,1715.52536
11.3079603,1821,116.919638,1704.07933,1704.08036
11.3283956,1871,178.306537,1692.69242,1692.69346
11.3488309,1852,170.635428,1681.36352,1681.36457
11.3692662,1832,161.906403,1670.09254,1670.0936
11.3897015,1808,149.119556,1658.87938,1658.88044
11.4101369,1903,255.274982,1647.72394,1647.72502
11.4305722,1750,113.372775,1636.62614,1636.62722
11.4510075,1786,160.413035,1625.58587,1625.58696
11.4714428,1765,150.395859,1614.60303,1614.60414
11.4918781,1848,244.321344,1603.67753,1603.67866
11.5123134,1809,216.189584,1592.80925,1592.81042
11.5327488,1837,255.000657,1581.99811,1581.99934
11.5531841,1780,208.754619,1571.24398,1571.24538
11.5736194,1695,134.451612,1560.54676,1560.54839
11.5940547,1767,217.091916,1549.90634,1549.90808
11.61449,1684,144.675607,1539.32262,1539.32439
11.6349253,1691,162.20273,1528.79549,1528.79727
11.6553607,1685,166.673384,1518.32482,1518.32662
11.675796,1660,152.087683,1507.9105,1507.91232
11.6962313,1654,156.445742,1497.55243,1497.55426
11.7166666,1608,120.747679,1487.25048,1487.25232
11.7371019,1640,162.993611,1477.00453,1477.00639
11.7575372,1679,212.183658,1466.81447,1466.81634
11.7779726,1679,222.317942,1456.68017,1456.68206
11.7984079,1626,179.396583,1446.60151,1446.60342
11.8188432,1619,182.419706,1436.57837,1436.58029
11.8392785,1620,193.387436,1426.61063,1426.61256
11.8597138,1647,230.299897,1416.69815,1416.7001
11.8801491,1622,215.157218,1406.84081,1406.84278
11.9005845,1598,200.959526,1397.03849,1397.04047
11.9210198,1603,215.706952,1387.29105,1387.29305
11.9414551,1536,158.399625,1377.59836,1377.60038
11.9618904,1574,206.037677,1367.96029,1367.96232
11.9823257,1512,153.621242,1358.37671,1358.37876
12.002761,1558,209.150452,1348.84748,1348.84955
12.0231964,1586,246.625445,1339.37247,1339.37456
12.0436317,1481,151.046354,1329.95154,1329.95365
12.064067,1563,242.413319,1320.58456,1320.58668
12.0845023,1500,188.726477,1311.27138,1311.27352
12.1049376,1500,197.985966,1302.01187,1302.01403
