'y-axis saved as y
'x,PKT-3-104-1_2MnO2_Y2O3_FlowO2_650_72.raw,Diff,Bkg,Ycalc
10.0001,2104,-389.642165,2493.64216,2493.64216
10.0205353,2169,-309.674912,2478.67491,2478.67491
10.0409706,2167,-296.763848,2463.76385,2463.76385
10.061406,2189,-259.909068,2448.90907,2448.90907
10.0818413,2022,-412.110661,2434.11066,2434.11066
10.1022766,2081,-338.368716,2419.36872,2419.36872
10.1227119,2114,-290.683317,2404.68332,2404.68332
10.1431472,2100,-290.054545,2390.05454,2390.05454
10.1635825,2080,-295.482478,2375.48248,2375.48248
10.1840179,2152,-208.96719,2360.96719,2360.96719
10.2044532,2095,-251.508753,2346.50875,2346.50875
10.2248885,2062,-270.107234,2332.10723,2332.10723
10.2453238,2095,-222.762698,2317.7627,2317.7627
10.2657591,2079,-224.475208,2303.47521,2303.47521
10.2861944,1988,-301.244821,2289.24482,2289.24482
10.3066298,2139,-136.071594,2275.07159,2275.07159
10.3270651,2121,-139.955578,2260.95558,2260.95558
10.3475004,2091,-155.896823,2246.89682,2246.89682
10.3679357,2115,-117.895376,2232.89538,2232.89538
10.388371,1998,-220.95128,2218.95128,2218.95128
10.4088063,2038,-167.064575,2205.06457,2205.06457
10.4292417,2037,-154.235299,2191.2353,2191.2353
10.449677,2102,-75.463487,2177.46349,2177.46349
10.4701123,2026,-137.74917,2163.74917,2163.74917
10.4905476,2076,-74.0923781,2150.09238,2150.09238
10.5109829,2068,-68.4931365,2136.49314,2136.49314
10.5314182,1919,-203.951469,2122.95147,2122.95147
10.5518536,1962,-147.467396,2109.4674,2109.4674
10.5722889,2047,-49.0409351,2096.04094,2096.04094
10.5927242,1936,-146.672102,2082.6721,2082.6721
10.6131595,1952,-117.360909,2069.36091,2069.36091
10.6335948,2052,-4.10736574,2056.10737,2056.10737
10.6540301,2017,-25.9114795,2042.91148,2042.91148
10.6744655,2043,13.2267451,2029.77325,2029.77325
10.6949008,1982,-34.6926937,2016.69269,2016.69269
10.7153361,2008,4.3302044,2003.6698,2003.6698
10.7357714,1919,-71.7045573,1990.70456,1990.70456
10.7562067,1996,18.2030268,1977.79697,1977.79697
10.776642,1961,-3.9470353,1964.94704,1964.94704
10.7970774,1954,1.84526709,1952.15473,1952.15473
10.8175127,2014,74.5799469,1939.42005,1939.42005
10.837948,1953,26.2570196,1926.74298,1926.74298
10.8583833,1939,24.876503,1914.1235,1914.1235
10.8788186,1921,19.4384172,1901.56158,1901.56158
10.8992539,1993,103.942785,1889.05722,1889.05722
10.9196893,1948,71.3896304,1876.61037,1876.61037
10.9401246,1899,34.7789813,1864.22102,1864.22102
10.9605599,1887,35.1108669,1851.88913,1851.88913
10.9809952,1879,39.3853188,1839.61468,1839.61468
11.0014305,1915,87.6023709,1827.39763,1827.39763
11.0218658,1898,82.7620591,1815.23794,1815.23794
11.0423012,1845,41.8644217,1803.13558,1803.13558
11.0627365,1919,127.909499,1791.0905,1791.0905
11.0831718,1860,80.8973339,1779.10267,1779.10267
11.1036071,1931,163.827971,1767.17203,1767.17203
11.1240424,1828,72.701456,1755.29854,1755.29854
11.1444777,1886,142.517839,1743.48216,1743.48216
11.1649131,1914,182.27717,1731.72283,1731.72283
11.1853484,1839,118.979502,1720.0205,1720.0205
11.2057837,1816,107.62489,1708.37511,1708.37511
11.226219,1899,202.213391,1696.78661,1696.78661
11.2466543,1746,60.7450638,1685.25494,1685.25494
11.2670896,1771,97.2199686,1673.78003,1673.78003
11.287525,1867,204.638168,1662.36183,1662.36183
11.3079603,1880,228.999728,1651.00027,1651.00027
11.3283956,1847,207.304713,1639.69529,1639.69529
11.3488309,1722,93.5531917,1628.44681,1628.44681
11.3692662,1848,230.745235,1617.25476,1617.25476
11.3897015,1699,92.8809145,1606.11909,1606.11909
11.4101369,1837,241.960304,1595.0397,1595.0397
11.4305722,1779,194.983478,1584.01652,1584.01652
11.4510075,1733,159.950515,1573.04949,1573.04949
11.4714428,1745,182.861493,1562.13851,1562.13851
11.4918781,1685,133.716493,1551.28351,1551.28351
11.5123134,1749,208.515598,1540.4844,1540.4844
11.5327488,1618,88.2588904,1529.74111,1529.74111
11.5531841,1738,218.946457,1519.05354,1519.05354
11.5736194,1715,206.578385,1508.42161,1508.42161
11.5940547,1707,209.154763,1497.84524,1497.84524
11.61449,1597,109.675682,1487.32432,1487.32432
11.6349253,1693,216.141234,1476.85877,1476.85877
11.6553607,1664,197.551512,1466.44849,1466.44849
11.675796,1623,166.906611,1456.09339,1456.09339
11.6962313,1608,162.206629,1445.79337,1445.79337
11.7166666,1702,266.451663,1435.54834,1435.54834
11.7371019,1723,297.641813,1425.35819,1425.35819
11.7575372,1651,235.77718,1415.22282,1415.22282
11.7779726,1584,178.857867,1405.14213,1405.14213
11.7984079,1605,209.883977,1395.11602,1395.11602
11.8188432,1572,186.855617,1385.14438,1385.14438
11.8392785,1638,262.772892,1375.22711,1375.22711
11.8597138,1596,230.635911,1365.36409,1365.36409
11.8801491,1562,206.444784,1355.55522,1355.55522
11.9005845,1510,164.199621,1345.80038,1345.80038
11.9210198,1536,199.900535,1336.09946,1336.09946
11.9414551,1537,210.547639,1326.45236,1326.45236
11.9618904,1580,263.141047,1316.85895,1316.85895
11.9823257,1483,175.680877,1307.31912,1307.31912
12.002761,1519,221.167244,1297.83276,1297.83276
12.0231964,1462,173.600268,1288.39973,1288.39973
12.0436317,1421,141.980068,1279.01993,1279.01993
12.064067,1521,251.306765,1269.69323,1269.69323
12.0845023,1377,116.580482,1260.41952,1260.41952
12.1049376,1452,200.801341,1251.19866,1251.19866
12.1253729,1401,158.969467,1242.03053,1242.03053
12.1458083,1338,105.084986,1232.91501,1232.91501
12.1662436,1427,203.148024,1223.85198,1223.85198
12.1866789,1370,155.158709,1214.84129,1214.84129
12.2071142,1325,119.11717,1205.88283,1205.88283
12.2275495,1356,159.023538,1196.97646,1196.97646
12.2479848,1354,165.877942,1188.12206,1188.12206
12.2684202,1341,161.680514,1179.31949,1179.31949
12.2888555,1388,217.431389,1170.56861,1170.56861
12.3092908,1354,192.130701,1161.8693,1161.8693
12.3297261,1284,130.778583,1153.22142,1153.22142
12.3501614,1286,141.375172,1144.62483,1144.62483
12.3705967,1286,149.920606,1136.07939,1136.07939
12.3910321,1373,245.415022,1127.58498,1127.58498
12.4114674,1336,216.858559,1119.14144,1119.14144
12.4319027,1323,212.251357,1110.74864,1110.74864
12.452338,1283,180.593557,1102.40644,1102.40644
12.4727733,1286,191.8853,1094.1147,1094.1147
12.4932086,1258,172.126729,1085.87327,1085.87327
12.513644,1255,177.317988,1077.68201,1077.68201
12.5340793,1227,157.459219,1069.54078,1069.54078
12.5545146,1205,143.550569,1061.44943,1061.44943
12.5749499,1175,121.592184,1053.40782,1053.40782
12.5953852,1179,133.584209,1045.41579,1045.41579
12.6158206,1153,115.526793,1037.47321,1037.47321
12.6362559,1100,70.4200829,1029.57992,1029.57992
12.6566912,1165,143.264228,1021.73577,1021.73577
12.6771265,1227,213.059371,1013.94062,1013.94063
12.6975618,1115,108.805644,1006.19431,1006.19436
12.7179971,1096,97.5031454,998.496697,998.496855
12.7384325,1072,81.1519135,990.847623,990.848087
12.7588678,1087,103.751856,983.246938,983.248144
12.7793031,1074,98.3025692,975.694487,975.697431
12.7997384,1090,121.802794,968.190118,968.197206
12.8201737,1058,97.249297,960.733674,960.750703
12.840609,1042,88.6388861,953.325002,953.361114
12.8610444,1015,68.9798426,945.963945,946.020157
12.8814797,1064,125.287588,938.650346,938.712412
12.901915,1007,75.5526463,931.384049,931.447354
12.9223503,1007,82.770843,924.164896,924.229157
12.9427856,958,40.9420349,916.992727,917.057965
12.9632209,976,66.066378,909.867385,909.933622
12.9836563,1007,104.144031,902.78871,902.855969
13.0040916,958,62.1751535,895.756542,895.824847
13.0245269,959,70.159905,888.770721,888.840095
13.0449622,941,59.0984459,881.831084,881.901554
13.0653975,873,-2.00906305,874.937471,875.009063
13.0858328,861,-7.16246053,868.08972,868.162461
13.1062682,923,61.6384151,861.287667,861.361585
13.1267035,904,49.3937254,854.531151,854.606275
13.1471388,931,83.1036311,847.820007,847.896369
13.1675741,917,75.7682899,841.154071,841.23171
13.1880094,837,2.38785284,834.53318,834.612147
13.2084447,820,-8.03754316,827.957167,828.037543
13.2288801,836,14.4922036,821.425868,821.507796
13.2493154,851,35.9770951,814.939118,815.022905
13.2697507,774,-34.58309,808.496749,808.58309
13.290186,803,0.811468123,802.098596,802.188532
13.3106213,779,-16.8381141,795.744492,795.838114
13.3310566,779,-10.5300632,789.434269,789.530063
13.351492,804,20.7347181,783.16776,783.265282
13.3719273,790,12.9559388,776.944797,777.044061
13.3923626,764,-6.86626506,770.765212,770.866265
13.4127979,741,-23.731727,764.628836,764.731727
13.4332332,736,-22.6402799,758.5355,758.64028
13.4536685,713,-39.5917575,752.485035,752.591757
13.4741039,707,-39.5859979,746.477272,746.585998
13.4945392,736,-4.62285349,740.51204,740.622853
13.5149745,675,-59.7022082,734.58917,734.702208
13.5354098,704,-24.8240084,728.708492,728.824008
13.5558451,675,-47.9883324,722.869834,722.988332
13.5762804,676,-41.1955705,717.073025,717.19557
13.5967158,670,-41.4469753,711.317896,711.446975
13.6171511,630,-75.7457813,705.604274,705.745781
13.6375864,641,-59.0952111,699.931988,700.095211
13.6580217,617,-77.4870216,694.300867,694.487022
13.678457,636,-52.9057713,688.710737,688.905771
13.6988923,651,-32.3609303,683.161428,683.36093
13.7193277,620,-57.8568501,677.652767,677.85685
13.739763,561,-111.394157,672.184581,672.394157
13.7601983,579,-87.9737579,666.756698,666.973758
13.7806336,599,-62.5977895,661.368945,661.597789
13.8010689,566,-90.2714185,656.021149,656.271419
13.8215042,598,-53.0083231,650.713137,651.008323
13.8419396,581,-64.8372904,645.444736,645.83729
13.8623749,578,-62.7704861,640.215773,640.770486
13.8828102,564,-71.7283497,635.026073,635.72835
13.9032455,568,-62.6281937,629.875464,630.628194
13.9236808,581,-44.5375702,624.763772,625.53757
13.9441161,544,-76.4844719,619.690824,620.484472
13.9645515,537,-78.4707104,614.656445,615.47071
13.9849868,512,-98.4961802,609.660461,610.49618
14.0054221,580,-25.5607782,604.702699,605.560778
14.0258574,523,-77.6644397,599.782985,600.66444
14.0462927,479,-116.807204,594.901145,595.807204
14.066728,526,-64.989337,590.057004,590.989337
14.0871634,496,-90.2110736,585.250389,586.211074
14.1075987,492,-89.4713573,580.481125,581.471357
14.128034,486,-90.7684703,575.749039,576.76847
14.1484693,533,-39.1033849,571.053956,572.103385
14.1689046,465,-102.476523,566.395702,567.476523
14.1893399,499,-63.888026,561.774103,562.888026
14.2097753,462,-96.3382947,557.188986,558.338295
14.2302106,488,-65.8283109,552.640175,553.828311
14.2506459,439,-110.360285,548.127497,549.360285
14.2710812,410,-134.939429,543.650778,544.939429
14.2915165,477,-63.5793634,539.209843,540.579363
14.3119518,485,-51.3087761,534.80452,536.308776
14.3323872,442,-90.1407651,530.434634,532.140765
14.3528225,467,-60.9981282,526.100012,527.998128
14.3732578,493,-30.7982028,521.800479,523.798203
14.3936931,434,-85.6072536,517.535862,519.607254
14.4141284,419,-96.453065,513.305988,515.453065
14.4345637,437,-74.3376728,509.110683,511.337673
14.4549991,425,-82.2612431,504.949773,507.261243
14.4754344,421,-82.2239587,500.823086,503.223959
14.4958697,454,-45.2260382,496.730449,499.226038
14.516305,416,-79.26774,492.671688,495.26774
14.5367403,391,-100.349368,488.64663,491.349368
14.5571756,403,-84.4712758,484.655103,487.471276
14.577611,412,-71.6338759,480.696935,483.633876
14.5980463,410,-69.8376446,476.771952,479.837645
14.6184816,401,-75.0831327,472.879983,476.083133
14.6389169,419,-53.3709751,469.020854,472.370975
14.6593522,430,-38.7019031,465.194395,468.701903
14.6797875,407,-58.0767584,461.400434,465.076758
14.7002229,404,-57.4965101,457.638798,461.49651
14.7206582,365,-92.9622739,453.909317,457.962274
14.7410935,362,-92.4753358,450.211818,454.475336
14.7615288,381,-70.0371796,446.546132,451.03718
14.7819641,365,-82.6495207,442.912087,447.649521
14.8023994,369,-75.3143456,439.309511,444.314346
14.8228348,366,-75.0339605,435.738236,441.03396
14.8432701,378,-59.8110502,432.198091,437.81105
14.8637054,328,-106.64875,428.688905,434.64875
14.8841407,351,-80.550735,425.210509,431.550735
14.904576,386,-42.5213278,421.762733,428.521328
14.9250113,351,-74.5656377,418.345408,425.565638
14.9454467,364,-58.689731,414.958364,422.689731
14.965882,366,-53.9008497,411.601433,419.90085
