'y-axis saved as y
'x,PKT-3-105-2_Y2O3_2BMMnO2_FlowO2_650_24.raw,Diff,Bkg,Ycalc
10.0001,2315,-271.190925,2586.19093,2586.19093
10.0205353,2310,-265.19236,2575.19236,2575.19236
10.0409706,2320,-244.202611,2564.20261,2564.20261
10.061406,2302,-251.222135,2553.22213,2553.22213
10.0818413,2364,-178.251383,2542.25138,2542.25138
10.1022766,2316,-215.290802,2531.2908,2531.2908
10.1227119,2385,-135.340833,2520.34083,2520.34083
10.1431472,2291,-218.40191,2509.40191,2509.40191
10.1635825,2282,-216.474465,2498.47446,2498.47446
10.1840179,2327,-160.558921,2487.55892,2487.55892
10.2044532,2419,-57.6556983,2476.6557,2476.6557
10.2248885,2237,-228.765211,2465.76521,2465.76521
10.2453238,2342,-112.887868,2454.88787,2454.88787
10.2657591,2222,-222.024073,2444.02407,2444.02407
10.2861944,2243,-190.174224,2433.17422,2433.17422
10.3066298,2217,-205.338717,2422.33872,2422.33872
10.3270651,2223,-188.517938,2411.51794,2411.51794
10.3475004,2205,-195.712271,2400.71227,2400.71227
10.3679357,2171,-218.922096,2389.9221,2389.9221
10.388371,2331,-48.1477853,2379.14779,2379.14779
10.4088063,2305,-63.389708,2368.38971,2368.38971
10.4292417,2290,-67.6482278,2357.64823,2357.64823
10.449677,2262,-84.9237038,2346.9237,2346.9237
10.4701123,2303,-33.2164902,2336.21649,2336.21649
10.4905476,2330,4.47306357,2325.52694,2325.52694
10.5109829,2231,-83.8553871,2314.85539,2314.85539
10.5314182,2280,-24.2021823,2304.20218,2304.20218
10.5518536,2133,-160.567657,2293.56766,2293.56766
10.5722889,2178,-104.952143,2282.95214,2282.95214
10.5927242,2141,-131.355965,2272.35597,2272.35597
10.6131595,2186,-75.7794457,2261.77945,2261.77945
10.6335948,2228,-23.2229016,2251.2229,2251.2229
10.6540301,2229,-11.6866453,2240.68665,2240.68665
10.6744655,2174,-56.170985,2230.17098,2230.17098
10.6949008,2184,-35.6762244,2219.67622,2219.67622
10.7153361,2188,-21.2026627,2209.20266,2209.20266
10.7357714,2167,-31.750595,2198.7506,2198.7506
10.7562067,2302,113.679688,2188.32031,2188.32031
10.776642,2248,70.0879003,2177.9121,2177.9121
10.7970774,2190,22.4737596,2167.52624,2167.52624
10.8175127,2149,-8.16301202,2157.16301,2157.16301
10.837948,2176,29.1773118,2146.82269,2146.82269
10.8583833,2184,47.4944616,2136.50554,2136.50554
10.8788186,2141,14.7881719,2126.21183,2126.21183
10.8992539,2180,64.0581815,2115.94182,2115.94182
