'y-axis saved as y
'x,PKT-3-112-1_NaMn2O4_YOCl_650_24_O2.raw,Diff,Ycalc,Bkg
10.0001,2557,221.674216,2335.32578,2334.63884
10.0205353,2435,88.2131288,2346.78687,2346.11286
10.0409706,2590,232.244872,2357.75513,2357.0932
10.061406,2506,137.763984,2368.23602,2367.58539
10.0818413,2467,88.7649968,2378.235,2377.59496
10.1022766,2591,203.242438,2387.75756,2387.12744
10.1227119,2558,161.19084,2396.80916,2396.18838
10.1431472,2522,116.604752,2405.39525,2404.78334
10.1635825,2540,126.478751,2413.52125,2412.91788
10.1840179,2417,-4.19252869,2421.19253,2420.59755
10.2044532,2450,21.5856508,2428.41435,2427.82793
10.2248885,2494,58.8082232,2435.19178,2434.61459
10.2453238,2552,110.470546,2441.52945,2440.96308
10.2657591,2425,-22.4312062,2447.43121,2446.87898
10.2861944,2410,-42.8999749,2452.89997,2452.36785
10.3066298,2438,-19.9397846,2457.93978,2457.43525
10.3270651,2442,-20.5632784,2462.56328,2462.08674
10.3475004,2359,-107.791125,2466.79112,2466.32786
10.3679357,2520,49.3751331,2470.62487,2470.16415
10.388371,2442,-32.0627064,2474.06271,2473.60115
10.4088063,2462,-15.1076207,2477.10762,2476.64438
10.4292417,2479,-0.764779697,2479.76478,2479.29936
10.449677,2428,-54.0396839,2482.03968,2481.57158
10.4701123,2404,-79.9378424,2483.93784,2483.46652
10.4905476,2448,-37.4647539,2485.46475,2484.98968
10.5109829,2356,-130.625905,2486.62591,2486.14649
10.5314182,2453,-34.4267693,2487.42677,2486.94241
10.5518536,2492,4.12719562,2487.8728,2487.38286
10.5722889,2411,-76.9694511,2487.96945,2487.47325
10.5927242,2491,3.2778676,2487.72213,2487.21898
10.6131595,2395,-92.1362522,2487.13625,2486.6254
10.6335948,2398,-88.2171944,2486.21719,2485.69787
10.6540301,2445,-39.9703208,2484.97032,2484.44173
10.6744655,2391,-92.4009683,2483.40097,2482.86227
10.6949008,2371,-110.514446,2481.51445,2480.96479
10.7153361,2342,-137.316038,2479.31604,2478.75454
10.7357714,2336,-140.811015,2476.81102,2476.23677
10.7562067,2381,-93.0047291,2474.00473,2473.41668
10.776642,2353,-117.902783,2470.90278,2470.29946
10.7970774,2297,-170.509807,2467.50981,2466.89027
10.8175127,2475,11.1749661,2463.82503,2463.19425
10.837948,2446,-13.8516246,2459.85162,2459.2165
10.8583833,2403,-52.616269,2455.61627,2454.9621
10.8788186,2340,-111.124189,2451.12419,2450.43611
10.8992539,2324,-122.375561,2446.37556,2445.64353
10.9196893,2390,-51.3782591,2441.37826,2440.58937
10.9401246,2407,-29.14527,2436.14527,2435.27858
10.9605599,2338,-92.6758238,2430.67582,2429.71609
10.9809952,2344,-80.9484335,2424.94843,2423.90679
11.0014305,2371,-47.9747988,2418.9748,2417.85556
11.0218658,2311,-101.773107,2412.77311,2411.56723
11.0423012,2296,-110.353735,2406.35374,2405.0466
11.0627365,2248,-151.7254,2399.7254,2398.29844
11.0831718,2245,-147.897926,2392.89793,2391.32747
11.1036071,2309,-76.8829757,2385.88298,2384.13841
11.1240424,2311,-67.6948838,2378.69488,2376.73591
11.1444777,2158,-213.351836,2371.35184,2369.12461
11.1649131,2308,-55.8774742,2363.87747,2361.3091
11.1853484,2315,-41.3029799,2356.30298,2353.29393
11.2057837,2287,-61.6697338,2348.66973,2345.08365
11.226219,2272,-69.0324859,2341.03249,2336.68272
11.2466543,2178,-155.46213,2333.46213,2328.09561
11.2670896,2326,-0.0473491679,2326.04735,2319.32672
11.287525,2237,-81.8935944,2318.89359,2310.38044
11.3079603,2257,-55.1056457,2312.10565,2301.2611
11.3283956,2210,-95.7340151,2305.73402,2291.97301
11.3488309,2248,-51.6553144,2299.65531,2282.52043
11.3692662,2199,-94.3954773,2293.39548,2272.90759
11.3897015,2207,-79.0497692,2286.04977,2263.13867
11.4101369,2205,-71.6191446,2276.61914,2253.21783
11.4305722,2207,-57.7608192,2264.76082,2243.14918
11.4510075,2123,-128.14691,2251.14691,2232.93678
11.4714428,2253,16.0460599,2236.95394,2222.58468
11.4918781,2172,-51.0932409,2223.09324,2212.09686
11.5123134,2103,-106.909622,2209.90962,2201.47729
11.5327488,2164,-33.3420586,2197.34206,2190.72987
11.5531841,2179,-6.17977617,2185.17978,2179.85849
11.5736194,2125,-48.2591686,2173.25917,2168.86697
11.5940547,2129,-32.4752348,2161.47523,2157.75913
11.61449,2156,6.24583487,2149.75417,2146.5387
11.6349253,2167,28.9531777,2138.04682,2135.20942
11.6553607,2142,15.678157,2126.32184,2123.77496
11.675796,2078,-36.5592887,2114.55929,2112.23895
11.6962313,2151,48.2534481,2102.74655,2100.60499
11.7166666,2057,-33.875813,2090.87581,2088.87665
11.7371019,2169,90.057557,2078.94244,2077.05743
11.7575372,2028,-38.9439814,2066.94398,2065.15081
11.7779726,2073,18.1205313,2054.87947,2053.16024
11.7984079,2066,23.2509971,2042.749,2041.0891
11.8188432,2071,40.4465623,2030.55344,2028.94076
11.8392785,2023,4.70582496,2018.29418,2016.71852
11.8597138,1996,-9.97302051,2005.97302,2004.42568
11.8801491,2019,25.4079194,1993.59208,1992.06545
11.9005845,2002,20.8463096,1981.15369,1979.64105
11.9210198,2037,68.3396369,1968.66036,1967.15562
11.9414551,2083,126.885244,1956.11476,1954.61228
11.9618904,1915,-28.5196466,1943.51965,1942.01411
11.9823257,1983,52.1220714,1930.87793,1929.36414
12.002761,1948,29.8073907,1918.19261,1916.66538
12.0231964,1967,61.5331717,1905.46683,1903.92077
12.0436317,1994,101.296108,1892.70389,1891.13324
12.064067,1935,55.0926708,1879.90733,1878.30567
12.0845023,1846,-21.0809838,1867.08098,1865.44088
12.1049376,1870,15.7708632,1854.22914,1852.54169
