'y-axis saved as y
'Q,Y2Mn2O7_04032018.raw,Diff,Ycalc,Bkg
0.355802782,1838,-80.1155981,1918.1156,1918.1156
0.357255375,1902,-5.20755105,1907.20755,1907.20755
0.358707956,1858,-38.3777042,1896.3777,1896.3777
0.360160525,1796,-89.6252798,1885.62528,1885.62528
0.361613083,1745,-129.949512,1874.94951,1874.94951
0.36306563,1728,-136.349644,1864.34964,1864.34964
0.364518165,1826,-27.8249337,1853.82493,1853.82493
0.365970689,1702,-141.374646,1843.37465,1843.37465
0.3674232,1706,-126.998057,1832.99806,1832.99806
0.368875701,1720,-102.694455,1822.69445,1822.69445
0.370328189,1772,-40.4631357,1812.46314,1812.46314
0.371780666,1646,-156.303407,1802.30341,1802.30341
0.373233131,1758,-34.2145842,1792.21458,1792.21458
0.374685584,1696,-86.1959941,1782.19599,1782.19599
0.376138025,1691,-81.2469718,1772.24697,1772.24697
0.377590454,1648,-114.366862,1762.36686,1762.36686
0.379042871,1650,-102.555017,1752.55502,1752.55502
0.380495276,1614,-128.8108,1742.8108,1742.8108
0.381947669,1587,-146.133581,1733.13358,1733.13358
0.38340005,1587,-136.52274,1723.52274,1723.52274
0.384852419,1564,-149.977664,1713.97766,1713.97766
0.386304775,1662,-42.4977497,1704.49775,1704.49775
0.38775712,1616,-79.0824,1695.0824,1695.0824
0.389209452,1587,-98.731027,1685.73103,1685.73103
0.390661771,1586,-90.44305,1676.44305,1676.44305
0.392114078,1514,-153.217896,1667.2179,1667.2179
0.393566373,1488,-170.055,1658.055,1658.055
0.395018655,1533,-115.953803,1648.9538,1648.9538
0.396470925,1552,-87.9137544,1639.91375,1639.91375
0.397923182,1546,-84.9343106,1630.93431,1630.93431
0.399375426,1501,-121.014935,1622.01493,1622.01493
0.400827658,1502,-111.155096,1613.1551,1613.1551
0.402279877,1585,-19.354272,1604.35427,1604.35427
0.403732083,1522,-73.6119455,1595.61195,1595.61195
0.405184276,1536,-50.9276062,1586.92761,1586.92761
0.406636457,1455,-123.30075,1578.30075,1578.30075
0.408088624,1510,-59.7308802,1569.73088,1569.73088
0.409540779,1460,-101.217505,1561.2175,1561.2175
0.41099292,1513,-39.7601377,1552.76014,1552.76014
0.412445049,1467,-77.3583005,1544.3583,1544.3583
0.413897164,1471,-65.0115192,1536.01152,1536.01152
0.415349266,1471,-56.7193261,1527.71933,1527.71933
0.416801355,1477,-42.4812589,1519.48126,1519.48126
0.418253431,1398,-113.296861,1511.29686,1511.29686
0.419705494,1359,-144.165682,1503.16568,1503.16568
0.421157543,1400,-95.087275,1495.08727,1495.08727
0.422609579,1486,-1.06120037,1487.0612,1487.0612
0.424061601,1395,-84.0870228,1479.08702,1479.08702
0.42551361,1459,-12.1643121,1471.16431,1471.16431
0.426965605,1411,-52.2926433,1463.29264,1463.29264
0.428417587,1375,-80.4715964,1455.4716,1455.4716
0.429869555,1357,-90.7007563,1447.70076,1447.70076
0.43132151,1359,-80.9797125,1439.97971,1439.97971
0.432773451,1339,-93.3080594,1432.30806,1432.30806
0.434225378,1354,-70.685396,1424.6854,1424.6854
0.435677291,1334,-83.1113261,1417.11133,1417.11133
0.43712919,1351,-58.5854577,1409.58546,1409.58546
0.438581076,1296,-106.107403,1402.1074,1402.1074
0.440032948,1382,-12.6767801,1394.67678,1394.67678
0.441484805,1334,-53.2932091,1387.29321,1387.29321
0.442936649,1383,3.04368407,1379.95632,1379.95632
0.444388478,1300,-72.6657302,1372.66573,1372.66573
0.445840294,1226,-139.421086,1365.42109,1365.42109
0.447292095,1246,-112.22202,1358.22202,1358.22202
0.448743882,1299,-52.0681755,1351.06818,1351.06818
0.450195655,1294,-49.9591975,1343.9592,1343.9592
0.451647413,1308,-28.8947356,1336.89474,1336.89474
0.453099157,1308,-21.8744433,1329.87444,1329.87444
0.454550887,1302,-20.8979777,1322.89798,1322.89798
0.456002602,1228,-87.9649997,1315.965,1315.965
0.457454303,1279,-30.0751737,1309.07517,1309.07517
0.458905989,1256,-46.2281679,1302.22817,1302.22817
0.460357661,1254,-41.4236539,1295.42365,1295.42365
0.461809318,1232,-56.6613067,1288.66131,1288.66131
0.46326096,1290,8.0591952,1281.9408,1281.9408
0.464712588,1194,-81.2618302,1275.26183,1275.26183
0.466164201,1233,-35.6240681,1268.62407,1268.62407
0.467615799,1264,1.97279301,1262.02721,1262.02721
0.469067382,1228,-27.4709386,1255.47094,1255.47094
0.470518951,1155,-93.954958,1248.95496,1248.95496
0.471970504,1242,-0.478963152,1242.47896,1242.47896
0.473422042,1207,-29.0426553,1236.04266,1236.04266
0.474873566,1229,-0.64573861,1229.64574,1229.64574
0.476325074,1191,-32.2879204,1223.28792,1223.28792
0.477776567,1201,-15.9689109,1216.96891,1216.96891
0.479228045,1182,-28.6884233,1210.68842,1210.68842
0.480679507,1268,63.5538265,1204.44617,1204.44617
0.482130955,1200,1.75811946,1198.24188,1198.24188
0.483582387,1193,0.924733958,1192.07527,1192.07527
0.485033804,1240,54.0539455,1185.94605,1185.94605
0.486485205,1197,17.1460269,1179.85397,1179.85397
0.487936591,1180,6.2012483,1173.79875,1173.79875
0.489387961,1232,64.2198771,1167.78012,1167.78012
0.490839316,1249,87.2021781,1161.79782,1161.79782
0.492290655,1187,31.1484136,1155.85159,1155.85159
0.493741979,1162,12.0588433,1149.94116,1149.94116
0.495193287,1175,30.9337243,1144.06628,1144.06628
0.496644579,1246,107.773311,1138.22669,1138.22669
0.498095855,1217,84.5778568,1132.42214,1132.42214
0.499547116,1206,79.3476103,1126.65239,1126.65239
0.50099836,1208,87.0828193,1120.91718,1120.91718
0.502449589,1159,43.7837289,1115.21627,1115.21627
0.503900802,1172,62.450582,1109.54942,1109.54942
0.505351999,1173,69.0836189,1103.91638,1103.91638
0.506803179,1097,-1.31692216,1098.31692,1098.31692
0.508254344,1185,92.2491949,1092.75081,1092.75081
0.509705492,1112,24.7822037,1087.2178,1087.2178
0.511156625,1142,60.2823359,1081.71766,1081.71766
0.512607741,1127,50.7498209,1076.25018,1076.25018
0.51405884,1165,94.1848862,1070.81511,1070.81511
0.515509924,1109,43.5877568,1065.41224,1065.41224
0.516960991,1161,100.958656,1060.04134,1060.04134
0.518412041,1151,96.2978048,1054.7022,1054.7022
0.519863076,1108,58.6054224,1049.39458,1049.39458
0.521314093,1090,45.881726,1044.11827,1044.11827
0.522765094,1210,171.126931,1038.87307,1038.87307
0.524216079,1145,111.341249,1033.65875,1033.65875
0.525667046,1073,44.5248937,1028.47511,1028.47511
0.527117997,1057,33.678073,1023.32193,1023.32193
0.528568932,1097,78.8009948,1018.19901,1018.19901
0.530019849,1133,119.893865,1013.10614,1013.10614
0.53147075,1113,104.956887,1008.04311,1008.04311
0.532921634,1127,123.990263,1003.00974,1003.00974
0.534372501,1092,93.9941933,998.005807,998.005807
0.53582335,1040,46.9688766,993.031123,993.031123
0.537274183,1103,114.91451,988.08549,988.08549
0.538724999,1077,93.8312873,983.168713,983.168713
0.540175798,1124,145.719403,978.280597,978.280597
0.541626579,1053,79.5790488,973.420951,973.420951
0.543077344,1036,67.4104142,968.589586,968.589586
0.544528091,1063,99.2136879,963.786312,963.786312
0.54597882,1058,98.9890567,959.010943,959.010943
0.547429533,1020,65.7367057,954.263294,954.263294
0.548880228,1037,87.4568185,949.543182,949.543182
0.550330905,1065,120.149577,944.850423,944.850423
0.551781565,1015,74.8151623,940.184838,940.184838
0.553232208,976,40.4537528,935.546247,935.546247
0.554682833,1010,79.0655262,930.934474,930.934474
0.55613344,1063,136.650658,926.349342,926.349342
0.55758403,1041,119.209324,921.790676,921.790676
0.559034602,1038,120.741696,917.258304,917.258304
0.560485156,1044,131.247946,912.752054,912.752054
0.561935692,991,82.7282446,908.271755,908.271755
0.563386211,959,55.18276,903.81724,903.81724
0.564836712,1005,105.61166,899.38834,899.38834
0.566287194,1037,142.01511,894.98489,894.98489
0.567737659,986,95.3932759,890.606724,890.606724
0.569188105,964,77.7463199,886.25368,886.25368
0.570638534,987,105.074404,881.925596,881.925596
0.572088944,960,82.3776901,877.62231,877.62231
0.573539337,1007,133.656336,873.343664,873.343664
0.574989711,973,103.910501,869.089499,869.089499
0.576440066,943,78.1403414,864.859659,864.859659
0.577890404,913,52.3460127,860.653987,860.653987
